addr_full,city,country,brand,extras,lat,lon,opening_hours,name,phone,ref,postCode,state,website
769 Burke Road,Camberwell,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.829816,145.056979,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-17:30', 'Sat': '10:00-17:00', 'Sun': '10:00-17:00'}",Camberwell,(03) 9882 5162,50063,3124,VIC,https://www.lululemon.com.au/en-au/store-locator
619 Doncaster Rd,Doncaster,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.787117,145.126144,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:00'}",Doncaster,(03) 9840 1524,50054,3108,VIC,https://www.lululemon.com.au/en-au/store-locator
188-194 Albert St,Brisbane,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-27.470021,153.025374,"{'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-21:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:30'}",Albert St,(07) 32112530,50103,4000,QLD,https://www.lululemon.com.au/en-au/store-locator
322 Moggill Road,Indooroopilly,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-27.499399,152.972794,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Indooroopilly,(07) 3720 1889,50101,4068,QLD,https://www.lululemon.com.au/en-au/store-locator
36 Ocean Beach Road,Sorrento,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-38.33888,144.740354,"{'Mon': '10:00-17:00', 'Tue': '10:00-17:00', 'Wed': '10:00-17:00', 'Thu': '10:00-17:00', 'Fri': '10:00-17:00', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Sorrento,(03) 5984 2658,50070,3943,VIC,https://www.lululemon.com.au/en-au/store-locator
"Westfield Geelong, Shop 105/6/7,",Geelong,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-38.147284,144.362275,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-21:00', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Geelong,(03) 5229 1927,50114,3220,VIC,https://www.lululemon.com.au/en-au/store-locator
250 Centre Dandenong Road,Moorabbin Airport,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.96984,145.087626,"{'Mon': '10:00-18:00', 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '10:00-18:00', 'Sun': '10:00-18:00'}",Moorabbin Factory Outlet,(03) 9583 7583,50047,3194,VIC,https://www.lululemon.com.au/en-au/store-locator
2 Church Street,Brighton,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.912041,144.992213,"{'Mon': '09:30-17:30', 'Tue': '09:30-17:30', 'Wed': '09:30-17:30', 'Thu': '09:30-17:30', 'Fri': '09:30-17:30', 'Sat': '09:30-17:30', 'Sun': '10:00-17:00'}",Brighton,(03) 9591 0450,50088,3186,VIC,https://www.lululemon.com.au/en-au/store-locator
1341 Dandenong Road,Chadstone,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.886547,145.083108,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00', 'Sun': '10:00-19:00'}",Chadstone Shopping Centre,(03) 9568 7191,50067,3148,VIC,https://www.lululemon.com.au/en-au/store-locator
256-260 Chapel Street,Prahran,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.849632,144.993983,"{'Mon': '10:00-18:00', 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:00'}",Chapel Street,(03) 9510 0277,50050,3181,VIC,https://www.lululemon.com.au/en-au/store-locator
1085-1092 High Street,Armadale,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.85556,145.023616,"{'Mon': '09:30-17:30', 'Tue': '09:30-17:30', 'Wed': '09:30-17:30', 'Thu': '09:30-17:30', 'Fri': '09:30-18:00', 'Sat': '09:30-18:00', 'Sun': '09:30-17:00'}",Armadale,03 9822 4216,50117,3143,Victoria,https://www.lululemon.com.au/en-au/store-locator
287 Lonsdale Street,Melbourne,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.812445,144.963875,"{'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-19:00', 'Sun': '10:00-19:00'}",Emporium,(03) 9654 9561,50102,3000,VIC,https://www.lululemon.com.au/en-au/store-locator
769 Burke Road,Camberwell,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.829816,145.056979,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-17:30', 'Sat': '10:00-17:00', 'Sun': '10:00-17:00'}",Camberwell,(03) 9882 5162,50063,3124,VIC,https://www.lululemon.com.au/en-au/store-locator
131-143 Smith St,Fitzroy,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.804514,144.982983,"{'Mon': '10:00-17:30', 'Tue': '10:00-17:30', 'Wed': '10:00-17:30', 'Thu': '10:00-17:30', 'Fri': '10:00-17:30', 'Sat': '10:00-17:30', 'Sun': '10:00-17:30'}",Collingwood Factory Outlet,(03) 8436 1898,50049,3065,VIC,https://www.lululemon.com.au/en-au/store-locator
120-200 Rosamond Road,Maribyrnong,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.7733,144.888735,"{'Mon': '09:00-18:00', 'Tue': '09:00-18:00', 'Wed': '09:00-18:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-19:00', 'Sun': '10:00-18:00'}",Highpoint,(03) 9317 0187,50090,3032,VIC,https://www.lululemon.com.au/en-au/store-locator
619 Doncaster Rd,Doncaster,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.787117,145.126144,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:00'}",Doncaster,(03) 9840 1524,50054,3108,VIC,https://www.lululemon.com.au/en-au/store-locator
188-194 Albert St,Brisbane,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-27.470021,153.025374,"{'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-21:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:30'}",Albert St,(07) 32112530,50103,4000,QLD,https://www.lululemon.com.au/en-au/store-locator
322 Moggill Road,Indooroopilly,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-27.499399,152.972794,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Indooroopilly,(07) 3720 1889,50101,4068,QLD,https://www.lululemon.com.au/en-au/store-locator
Westfield Kotara,Kotara,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-32.941652,151.711222,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Kotara,02 4957 1068,50116,2289,NSW,https://www.lululemon.com.au/en-au/store-locator
145 Old Pittwater Rd,Brookvale,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.768687,151.265614,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Warringah,(02) 9907 4128,50051,2100,NSW,https://www.lululemon.com.au/en-au/store-locator
892 Military Road,Mosman,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.828184,151.244408,"{'Mon': '09:30-17:00', 'Tue': '09:30-17:00', 'Wed': '09:30-17:00', 'Thu': '09:30-17:00', 'Fri': '09:30-17:00', 'Sat': '09:30-17:00', 'Sun': '10:00-16:30'}",Mosman,(02) 9960 1238,50055,2088,NSW,https://www.lululemon.com.au/en-au/store-locator
Herring Rd & Waterloo Rd,North Ryde,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.7772,151.12412,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-18:00'}",Macquarie Centre,(02) 9888 6689,50109,2113,NSW,https://www.lululemon.com.au/en-au/store-locator
301 George St,Sydney,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.865725,151.207014,"{'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-19:00', 'Sun': '09:00-19:00'}",Brookfield Place,02 9262 5104,50058,2000,NSW,https://www.lululemon.com.au/en-au/store-locator
Pitt St & Market St,Sydney,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.869755,151.208608,"{'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-21:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-19:00'}",Westfield Sydney City,(02) 9221 9846,50110,2000,NSW,https://www.lululemon.com.au/en-au/store-locator
500 Oxford St,Bondi Junction,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.891669,151.25027,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-19:00', 'Sat': '09:30-18:00', 'Sun': '10:00-18:00'}",Bondi Junction,(02) 9388 9893,50071,2022,NSW,https://www.lululemon.com.au/en-au/store-locator
The Mill,Alexandria,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-33.911541,151.194007,"{'Mon': '09:00-17:00', 'Tue': '09:00-17:00', 'Wed': '09:00-17:00', 'Thu': '09:00-17:00', 'Fri': '09:00-17:00', 'Sat': '09:00-17:00', 'Sun': '09:00-17:00'}",Alexandria Outlet,(02) 9310 5661,50596,2015,NSW,https://www.lululemon.com.au/en-au/store-locator
600 Kingsway,Miranda,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-34.035467,151.100631,"{'Mon': '09:30-18:00', 'Tue': '09:30-18:00', 'Wed': '09:30-18:00', 'Thu': '09:30-21:00', 'Fri': '09:30-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-18:00'}",Miranda,(02) 9524 8743,50113,2228,NSW,https://www.lululemon.com.au/en-au/store-locator
77-91 Rundle Mall,Adelaide,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-34.922372,138.60315,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-21:00', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Rundle Mall,(08) 8225 6039,50108,5000,SA,https://www.lululemon.com.au/en-au/store-locator
447 Portrush Rd,Glenside,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-34.941417,138.641803,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '11:00-17:00'}",Burnside,(08) 8379 8796,50104,5065,SA,https://www.lululemon.com.au/en-au/store-locator
"Westfield Marion, 297 Diagonal Road",Oaklands Park,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-35.016019,138.545513,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Marion,(08) 8298 2034,50115,5046,SA,https://www.lululemon.com.au/en-au/store-locator
287 Lonsdale Street,Melbourne,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.812445,144.963875,"{'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-19:00', 'Sun': '10:00-19:00'}",Emporium,(03) 9654 9561,50102,3000,VIC,https://www.lululemon.com.au/en-au/store-locator
131-143 Smith St,Fitzroy,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.804514,144.982983,"{'Mon': '10:00-17:30', 'Tue': '10:00-17:30', 'Wed': '10:00-17:30', 'Thu': '10:00-17:30', 'Fri': '10:00-17:30', 'Sat': '10:00-17:30', 'Sun': '10:00-17:30'}",Collingwood Factory Outlet,(03) 8436 1898,50049,3065,VIC,https://www.lululemon.com.au/en-au/store-locator
256-260 Chapel Street,Prahran,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.849632,144.993983,"{'Mon': '10:00-18:00', 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:00'}",Chapel Street,(03) 9510 0277,50050,3181,VIC,https://www.lululemon.com.au/en-au/store-locator
1085-1092 High Street,Armadale,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.85556,145.023616,"{'Mon': '09:30-17:30', 'Tue': '09:30-17:30', 'Wed': '09:30-17:30', 'Thu': '09:30-17:30', 'Fri': '09:30-18:00', 'Sat': '09:30-18:00', 'Sun': '09:30-17:00'}",Armadale,03 9822 4216,50117,3143,Victoria,https://www.lululemon.com.au/en-au/store-locator
120-200 Rosamond Road,Maribyrnong,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.7733,144.888735,"{'Mon': '09:00-18:00', 'Tue': '09:00-18:00', 'Wed': '09:00-18:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-19:00', 'Sun': '10:00-18:00'}",Highpoint,(03) 9317 0187,50090,3032,VIC,https://www.lululemon.com.au/en-au/store-locator
769 Burke Road,Camberwell,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.829816,145.056979,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-17:30', 'Sat': '10:00-17:00', 'Sun': '10:00-17:00'}",Camberwell,(03) 9882 5162,50063,3124,VIC,https://www.lululemon.com.au/en-au/store-locator
2 Church Street,Brighton,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.912041,144.992213,"{'Mon': '09:30-17:30', 'Tue': '09:30-17:30', 'Wed': '09:30-17:30', 'Thu': '09:30-17:30', 'Fri': '09:30-17:30', 'Sat': '09:30-17:30', 'Sun': '10:00-17:00'}",Brighton,(03) 9591 0450,50088,3186,VIC,https://www.lululemon.com.au/en-au/store-locator
1341 Dandenong Road,Chadstone,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.886547,145.083108,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00', 'Sun': '10:00-19:00'}",Chadstone Shopping Centre,(03) 9568 7191,50067,3148,VIC,https://www.lululemon.com.au/en-au/store-locator
TENANCY 10-11 CAT & FIDDLE ARCADE,Hobart,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-42.882937,147.326687,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Hobart,(03) 6231 1406,50084,7000,TAS,https://www.lululemon.com.au/en-au/store-locator
619 Doncaster Rd,Doncaster,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.787117,145.126144,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:00'}",Doncaster,(03) 9840 1524,50054,3108,VIC,https://www.lululemon.com.au/en-au/store-locator
250 Centre Dandenong Road,Moorabbin Airport,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-37.96984,145.087626,"{'Mon': '10:00-18:00', 'Tue': '10:00-18:00', 'Wed': '10:00-18:00', 'Thu': '10:00-18:00', 'Fri': '10:00-18:00', 'Sat': '10:00-18:00', 'Sun': '10:00-18:00'}",Moorabbin Factory Outlet,(03) 9583 7583,50047,3194,VIC,https://www.lululemon.com.au/en-au/store-locator
36 Ocean Beach Road,Sorrento,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-38.33888,144.740354,"{'Mon': '10:00-17:00', 'Tue': '10:00-17:00', 'Wed': '10:00-17:00', 'Thu': '10:00-17:00', 'Fri': '10:00-17:00', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Sorrento,(03) 5984 2658,50070,3943,VIC,https://www.lululemon.com.au/en-au/store-locator
"Westfield Geelong, Shop 105/6/7,",Geelong,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-38.147284,144.362275,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-17:30', 'Fri': '09:00-21:00', 'Sat': '09:00-17:00', 'Sun': '10:00-17:00'}",Geelong,(03) 5229 1927,50114,3220,VIC,https://www.lululemon.com.au/en-au/store-locator
188-194 Albert St,Brisbane,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-27.470021,153.025374,"{'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-21:00', 'Sat': '09:00-18:00', 'Sun': '10:00-17:30'}",Albert St,(07) 32112530,50103,4000,QLD,https://www.lululemon.com.au/en-au/store-locator
322 Moggill Road,Indooroopilly,AU,Lululemon,"{'brand': 'Lululemon', 'fascia': 'lululemon', 'edit_date': '20250515', 'lat_lon_source': 'Third Party'}",-27.499399,152.972794,"{'Mon': '09:00-17:30', 'Tue': '09:00-17:30', 'Wed': '09:00-17:30', 'Thu': '09:00-21:00', 'Fri': '09:00-17:30', 'Sat': '09:00-17:00', 'Sun': '10:00-16:00'}",Indooroopilly,(07) 3720 1889,50101,4068,QLD,https://www.lululemon.com.au/en-au/store-locator
