address,brand,city,postcode,country,extras,latitude,longitude,opening_hours,name,phone,ref,state,website
Avenue des 40 Journaux,Decathlon,Bordeaux,33300,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",44.874862,-0.567562,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Bordeaux Lac,+33557193939,0070002200022,,https://www.decathlon.fr/store-locator
9 rue du Drac,Decathlon,ECHIROLLES,38130,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",45.146181564846,5.691407646141,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Grenoble - Echirolles ,+33476400011,0070002300023,,https://www.decathlon.fr/store-locator
Zone Commerciale Auchan Petite-Forêt,Decathlon,PETITE-FORÊT,59494,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",50.380009709485,3.4755738796234,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Decathlon Valenciennes - Petite Forêt ,+33327141551,0070002400024,,https://www.decathlon.fr/store-locator
Rond point de l'Hippodrome,Decathlon,Chambray-lès-Tours,37170,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",47.3299113,0.7066678,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Chambray Les Tours,+33247282422,0070002500025,,https://www.decathlon.fr/store-locator
"212, rue de l´industrie",Decathlon,Cesson,77240,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.590189870312,2.5982079219818,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': '09:30-19:30'}}",Bois Sénart,+33164417221,0070002600026,,https://www.decathlon.fr/store-locator
"176 boulevard de l Europe, C.C Quartier Libre",Decathlon,LESCAR,64230,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.3175868,-0.4341858,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Pau - Lescar,+33559928500,0070002700027,,https://www.decathlon.fr/store-locator
1 Rond Point des Sports,Decathlon,Quétigny,21800,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",47.3152219,5.0890362,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Dijon - Quetigny ,+33380352540,0070002800028,,https://www.decathlon.fr/store-locator
4 boulevard des Enseignes,Decathlon,Mundolsheim,67450,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.651994,7.729512,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Mundolsheim,+33388819981,0070002900029,,https://www.decathlon.fr/store-locator
"5, Avenue du Grand Sablon",Decathlon,La Tronche,38700,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",45.197546945398,5.7503715390396,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Grenoble - La Tronche,+33476034400,0070003000030,,https://www.decathlon.fr/store-locator
Boulevard Alsace Lorraine,Decathlon,CORMONTREUIL,51350,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.21737715980738,4.047911973571794,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Decathlon Reims Cormontreuil,+33326823834,0070003100031,,https://www.decathlon.fr/store-locator
"105 rue Jakez Hélias, Les portes de Brest Guipavas",Decathlon,GUIPAVAS,29490,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.416428,-4.4358132,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Brest Guipavas,+33229612222,0070003200032,,https://www.decathlon.fr/store-locator
102 Avenue Jean Moulin,Decathlon,JAUX,60880,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.4053542578876,2.779346500663782,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Decathlon Compiègne - Jaux,+33344907500,0070003300033,,https://www.decathlon.fr/store-locator
Rue des Grands Chataigniers,Decathlon,VERTOU,44120,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",47.1786475,-1.5019145,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Decathlon Nantes - Vertou,+33251712323,0070003400034,,https://www.decathlon.fr/store-locator
3 rue Amédée Gordini,Decathlon,Limoges,87280,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",45.892380783678,1.2778869444275,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Limoges,+33555351036,0070003500035,,https://www.decathlon.fr/store-locator
"2, rue de Belgique, Zone Commerciale Beaulieu",Decathlon,Puilboreau,17138,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",46.178106099992,-1.1210686144638,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",La Rochelle / Puilboreau,+33546680000,0070003600036,,https://www.decathlon.fr/store-locator
Avenue du Marechal Lyautey,Decathlon,MANDELIEU LA NAPOULE,06210,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.5537517,6.9470675,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Decathlon Cannes - Mandelieu,+33493902508,0070003700037,,https://www.decathlon.fr/store-locator
"5, rue Hipparque",Decathlon,Merignac,33700,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",44.829945664984,-0.68063017196655,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Bordeaux Merignac,+33556476647,0070003900039,,https://www.decathlon.fr/store-locator
78 chemin du Loudet,Decathlon,COLOMIERS,31770,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.608075023304,1.3046952749252,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-20:00', 'Sun': ''}}",Toulouse Colomiers,+33561318788,0070004000040,,https://www.decathlon.fr/store-locator
82 Route de Mantes,Decathlon,Chambourcy,78240,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.91192840693058,2.0325497798705916,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': '10:00-19:30'}}",Chambourcy,+33139792923,0070004100041,,https://www.decathlon.fr/store-locator
Zone Actisud - Route des Gravières,Decathlon,Augny,57685,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.078650746812,6.1110975780487,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Metz - Augny,+33387658300,0070004200042,,https://www.decathlon.fr/store-locator
ZAC Deves de la Condamine,Decathlon,Saint Jean de Védas,34430,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.571323925561,3.8453186871719,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Montpellier - Saint Jean de Vedas,+33499528900,0070004500045,,https://www.decathlon.fr/store-locator
Avenue Roger Secretain,Decathlon,ORLEANS,45000,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",47.875381,1.911803,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Orléans,+33238665555,0070004800048,,https://www.decathlon.fr/store-locator
"2, boulevard d Arcole",Decathlon,Toulouse,31000,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.610906,1.4431,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Toulouse Centre Ville,+33561622449,0070004900049,,https://www.decathlon.fr/store-locator
Chemin des Perdrix,Decathlon,Epagny,74330,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",45.939979023462,6.0689691580581,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Annecy - Epagny,+33450226243,0070005100051,,https://www.decathlon.fr/store-locator
155 Rue Paul LAURENT - CS 48239,Decathlon,NIMES NIMES Cedex 9,30900,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.80873122718,4.3678857735718,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Nîmes,+33466290222,0070005200052,,https://www.decathlon.fr/store-locator
21 rue des Barthes et 63 avenue de Bayonne,Decathlon,ANGLET,64600,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.4849257,-1.5047525,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}",Anglet Côte Basque,+33559575000,0070005300053,,https://www.decathlon.fr/store-locator
Avenue Padovani,Decathlon,VITROLLES,13127,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43.436265579592,5.2563218154526,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Vitrolles,+33442151050,0070005400054,,https://www.decathlon.fr/store-locator
"70, Rue Henri Barbusse",Decathlon,Plaisir,78370,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.82798,1.96602,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': '10:00-19:30'}}",Plaisir,+33130075250,0070005500055,,https://www.decathlon.fr/store-locator
Avenue des drapeaux,Decathlon,Rots,14980,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.19668851,-0.452939660049,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Caen Rots,+33231060900,0070005700057,,https://www.decathlon.fr/store-locator
4/6 Rue Louis Armand,Decathlon,Paris,75015,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",48.832790978809,2.2770991263199,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': '10:00-20:00'}}",Paris Aquaboulevard,+33145586045,0070005800058,,https://www.decathlon.fr/store-locator
Centre Commercial La lézarde,Decathlon,Montivilliers,76290,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.530163,0.187278,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Montivilliers,+33232792626,0070006000060,,https://www.decathlon.fr/store-locator
Rue des montagnards,Decathlon,SAINT MAXIMIN,60740,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49.23851427120785,2.4689425939179,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': ''}}",Decathlon Creil - Saint Maximin,+33344240086,0070006100061,,https://www.decathlon.fr/store-locator
Zone commerciale la Pardieu,Decathlon,Clermont Ferrand,63000,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",45.7652142,3.1280585,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Clermont Ferrand,+33473273614,0070006200062,,https://www.decathlon.fr/store-locator
140 avenue de petite synthe,Decathlon,GRANDE SYNTHE,59760,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",51.01495799999999,2.319364423278798,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': ''}}",Decathlon Dunkerque - Grande Synthe ,+33328248383,0070006300063,,https://www.decathlon.fr/store-locator
Centre Commercial Chante Merle 2,Decathlon,La Couronne,16400,FR,"{'brand': 'Decathlon', 'fascia': 'Decathlon', 'category': 'Sports', 'edit_date': '20250310', 'lat_lon_source': 'website'}",45.625172417198,0.11193870967865,"{'opening_hours': {'Mon': '09:00-19:30', 'Tue': '09:00-19:30', 'Wed': '09:00-19:30', 'Thu': '09:00-19:30', 'Fri': '09:00-19:30', 'Sat': '09:00-19:30', 'Sun': ''}}",Angoulême La Couronne,+33545677070,0070006400064,,https://www.decathlon.fr/store-locator
