address,city,postcode,country,extras,lat,long,name,ref,state,phone,website,opening_hours
121 Chemin des Pommiers,Alès,30100,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",44.11614842,4.11019447,Jardiland,3681910,Occitanie,+33 4 66 55 81 81,https://www.jardiland.com/magasins/magasin-ales,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-19:00'}}"
Rue de Niort,Bressuire,79300,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",46.82986695,-0.49565708,Jardiland,3681918,Nouvelle-Aquitaine,+33 5 49 81 87 33,https://www.jardiland.com/magasins/magasin-bressuire,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-18:30'}}"
70 Boulevard Ampère,Chauray,79180,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",46.34052169,-0.38736736,Jardiland,3681920,Nouvelle-Aquitaine,+33 5 49 08 70 00,https://www.jardiland.com/magasins/magasin-chauray,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-18:30'}}"
Rue Marcel Carné,Lattes,34970,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",43.58395694,3.93216414,Jardiland,3681915,Occitanie,+33 4 67 15 60 60,https://www.jardiland.com/magasins/magasin-montpellier-lattes,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:00-19:00'}}"
12 Route de la Rochelle,Niort,79000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",46.30595792,-0.48885405,Jardiland,3681921,Nouvelle-Aquitaine,+33 5 49 77 26 77,https://www.jardiland.com/magasins/magasin-niort-bessines,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-12:30, 14:00-19:00', 'Sun': '10:00-12:30, 14:30-19:00'}}"
Av. Michel Grandou,Trélissac,24750,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",45.19111945,0.76659617,Jardiland,3681906,Nouvelle-Aquitaine,+33 5 53 02 43 70,https://www.jardiland.com/magasins/magasin-perigueux-trelissac,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-12:30, 14:00-19:00', 'Sun': '10:00-12:30, 14:30-19:00'}}"
ZA du Parc,Muzillac,56190,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",47.55995023,-2.50056831,Jardiland,3681922,Bretagne,+33 2 97 41 68 48,https://www.jardiland.com/magasins/magasin-muzillac,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-18:30'}}"
74 Rue Albert de Mun,Pontivy,56300,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.04893582,-2.95806626,Jardiland,3681908,Bretagne,+33 2 97 25 46 17,https://www.jardiland.com/magasins/magasin-pontivy,"{'opening_hours': {'Mon': '09:00-12:30, 14:00-19:00', 'Tue': '09:00-12:30, 14:00-19:00', 'Wed': '09:00-12:30, 14:00-19:00', 'Thu': '09:00-12:30, 14:00-19:00', 'Fri': '09:00-12:30, 14:00-19:00', 'Sat': '09:00-12:30, 14:00-19:00', 'Sun': '10:00-12:30, 14:00-18:30'}}"
Route du Nord,Montauban,82000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",44.04267893,1.38305962,Jardiland,3681917,Occitanie,+33 5 63 20 88 88,https://www.jardiland.com/magasins/magasin-montauban-nord,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:00-18:30'}}"
Route d'Elne,Perpignan,66000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",42.66513622,2.91548216,Jardiland,3681903,Occitanie,+33 4 68 85 43 63,https://www.jardiland.com/magasins/magasin-perpignan,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-19:00'}}"
Actisud Saint-Jean,Jouy-aux-Arches,57130,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",49.07860645,6.09941939,Jardiland,3681939,Grand Est,+33 3 87 38 35 25,https://www.jardiland.com/magasins/magasin-jouy-aux-arches-metz,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': 'Closed'}}"
24 Rue des Tarbes,Essey-lès-Nancy,54270,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.71026841,6.24937449,Jardiland,3681934,Grand Est,+33 3 83 21 00 80,https://www.jardiland.com/magasins/magasin-essey-les-nancy,"{'opening_hours': {'Mon': '09:30-12:00, 14:00-19:00', 'Tue': '09:30-12:00, 14:00-19:00', 'Wed': '09:30-12:00, 14:00-19:00', 'Thu': '09:30-12:00, 14:00-19:00', 'Fri': '09:30-12:00, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-18:30'}}"
Rue Louis - Charles Vernin,Dammarie-les-Lys,77190,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.51054703,2.60591359,Jardiland,3681935,Île-de-France,+33 1 64 37 49 97,https://www.jardiland.com/magasins/magasin-dammarie-les-lys,"{'opening_hours': {'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-13:00, 14:30-18:30'}}"
Rue Jean Jaurès,Vernouillet,78540,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.97624113,1.99332557,Jardiland,3681941,Île-de-France,+33 1 39 28 17 10,https://www.jardiland.com/magasins/magasin-vernouillet,"{'opening_hours': {'Mon': '10:00-19:00', 'Tue': '10:00-19:00', 'Wed': '10:00-19:00', 'Thu': '10:00-19:00', 'Fri': '10:00-19:00', 'Sat': '10:00-19:00', 'Sun': '10:00-19:00'}}"
Chemin des Garennes,Châteaudun,28200,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.08671084,1.33595555,Jardiland,3681944,Centre-Val de Loire,+33 2 37 94 05 10,https://www.jardiland.com/magasins/magasin-chateaudun,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-12:30, 14:00-19:00', 'Sun': '09:30-12:30, 14:00-18:30'}}"
Route de la Châtre,Le Poinconnet,36330,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",46.79390199,1.73467206,Jardiland,3681929,Centre-Val de Loire,+33 2 54 08 21 10,https://www.jardiland.com/magasins/magasin-chateauroux-le-poinconnet,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-18:30'}}"
4-6 Boulevard Vincent Auriol,Clermont-Ferrand,63100,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",45.79198416,3.11989653,Jardiland,3681927,Auvergne-Rhône-Alpes,+33 4 73 23 60 20,https://www.jardiland.com/magasins/magasin-clermont-ferrand,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '09:30-12:30, 14:00-19:00'}}"
Rue du Levant,La Flèche,72200,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",47.70474438,-0.05005132,Jardiland,3681924,Pays de la Loire,+33 2 43 48 95 99,https://www.jardiland.com/magasins/magasin-la-fleche,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-12:30, 14:00-19:00', 'Sun': 'Closed'}}"
Boulevard Louis Armand,Saint-Berthevin,53940,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.0668321,-0.80446143,Jardiland,3681936,Pays de la Loire,+33 2 43 91 46 10,https://www.jardiland.com/magasins/magasin-laval-saint-berthevin,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:00-18:30'}}"
Allée Henri Faris,Beaucouzé,49070,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",47.46875684,-0.61870805,Jardiland,3681937,Pays de la Loire,+33 2 41 72 14 00,https://www.jardiland.com/magasins/magasin-angers-beaucouze,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-19:00'}}"
53 Avenue du 11 Novembre,Poitiers,86000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",46.56538901,0.36306081,Jardiland,3681928,Nouvelle-Aquitaine,+33 5 49 38 03 00,https://www.jardiland.com/magasins/magasin-poitiers-grand-large,"{'opening_hours': {'Mon': '09:30-19:00', 'Tue': '09:30-19:00', 'Wed': '09:30-19:00', 'Thu': '09:30-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-13:00, 14:30-18:30'}}"
21 Avenue des Peupliers,Cesson-Sévigné,35510,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",48.11197868,-1.60896971,Jardiland,3681942,Bretagne,+33 2 99 83 17 17,https://www.jardiland.com/magasins/magasin-rennes-cesson-sevigne,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-13:00, 14:30-19:00'}}"
67 Rue Cristino Garcia,Nimes,30000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",43.83046836,4.38277081,Jardiland,3681940,Occitanie,+33 4 66 02 00 30,https://www.jardiland.com/magasins/magasin-nimes,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-19:00'}}"
256 Avenue du Général de Gaulle,Soyaux,16800,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",45.63709329,0.20731531,Jardiland,3681933,Nouvelle-Aquitaine,+33 5 45 37 52 00,https://www.jardiland.com/magasins/magasin-angouleme-soyaux,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-12:30, 14:00-19:00', 'Sun': '10:00-12:30, 14:30-19:00'}}"
Rue Ginsheim Gustavsburg,Bouguenais,44340,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",47.1750603,-1.60943883,Jardiland,3681938,Pays de la Loire,+33 2 28 00 12 10,https://www.jardiland.com/magasins/magasin-nantes-bouguenais,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '09:30-12:30, 14:00-19:00'}}"
Rue Jean Monnet,Carcassonne,11000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",43.20798889,2.38418332,Jardiland,3681932,Occitanie,+33 4 68 11 96 66,https://www.jardiland.com/magasins/magasin-carcassonne,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-12:30, 14:00-19:00', 'Sun': '10:00-12:30, 14:00-18:30'}}"
26-34 Avenue de l'Île de France,Artigues-près-Bordeaux,33370,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",44.8442966,-0.49754122,Jardiland,3681925,Nouvelle-Aquitaine,+33 5 57 77 71 80,https://www.jardiland.com/magasins/magasin-bordeaux-artigues-pres-bordeaux,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '09:00-19:00', 'Sun': '09:30-12:30, 14:30-18:30'}}"
Rue Lucien Servanty,Toulouse,31400,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",43.56961996,1.49944402,Jardiland,3681931,Occitanie,+33 5 61 54 29 60,https://www.jardiland.com/magasins/magasin-toulouse-montaudran,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-19:00', 'Sat': '09:30-19:00', 'Sun': '09:30-13:00, 14:00-18:30'}}"
10-18 Route du Médoc,Le Bouscat,33110,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",44.87137463,-0.61550516,Jardiland,3681943,Nouvelle-Aquitaine,+33 5 56 16 09 94,https://www.jardiland.com/magasins/magasin-bordeaux-le-bouscat,"{'opening_hours': {'Mon': '09:00-12:30, 14:00-19:00', 'Tue': '09:00-12:30, 14:00-19:00', 'Wed': '09:00-12:30, 14:00-19:00', 'Thu': '09:00-12:30, 14:00-19:00', 'Fri': '09:00-12:30, 14:00-19:00', 'Sat': '09:00-12:30, 14:00-19:00', 'Sun': '09:30-12:30, 14:30-18:30'}}"
42 Avenue Alfred Nobel,Pau,64000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",43.3082071,-0.3281963,Jardiland,3681926,Nouvelle-Aquitaine,+33 5 59 84 55 25,https://www.jardiland.com/magasins/magasin-pau,"{'opening_hours': {'Mon': '09:30-12:30, 14:00-19:00', 'Tue': '09:30-12:30, 14:00-19:00', 'Wed': '09:30-12:30, 14:00-19:00', 'Thu': '09:30-12:30, 14:00-19:00', 'Fri': '09:30-12:30, 14:00-19:00', 'Sat': '09:30-12:30, 14:00-19:00', 'Sun': '10:00-12:30, 14:00-18:30'}}"
Rue Hubert Bastin 7,Charleroi,6040,BE,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",50.45318791,4.42882512,Jardiland,3682039,Région Wallonne,+32 71 51 88 60,https://www.jardiland.com/magasins/magasin-charleroi-jumet,"{'opening_hours': {'Mon': '09:00-18:00', 'Tue': '09:00-18:00', 'Wed': '09:00-18:00', 'Thu': '09:00-18:00', 'Fri': '09:00-18:00', 'Sat': '09:00-18:00', 'Sun': '00:00-24:00'}}"
Rue André Joseph,Francheville,08000,FR,"{'Brand': 'Jardiland', 'fascia': 'Jardiland', 'category': 'Sports', 'edit_date': '20250311', 'lat_lon_source': 'Third Party'}",49.73550587,4.70975518,Jardiland,3682023,Grand Est,+33 3 52 62 00 25,https://www.jardiland.com/magasins/magasin-charleville-mezieres-la-francheville,"{'opening_hours': {'Mon': '09:30-12:00, 14:00-19:00', 'Tue': '09:30-12:00, 14:00-19:00', 'Wed': '09:30-12:00, 14:00-19:00', 'Thu': '09:30-12:00, 14:00-19:00', 'Fri': '09:30-12:00, 14:00-19:00', 'Sat': '09:30-19:00', 'Sun': '10:00-12:30, 14:30-18:30'}}"
