addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Supermarket | Αμύρου 8,Sklavenitis,Αγιά,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.7191,22.75468,Sklavenitis Αγιά,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",249 402 3799,400 03,1004,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Λεωφ. Κρυονερίου & Ελ. Βενιζέλου,Sklavenitis,Άγιος Στέφανος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.13945,23.85169,Sklavenitis Άγιος Στέφανος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 814 4407, ",145 65,576,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Καλυβίων 64 & Δροσίνη,Sklavenitis,Αγρίνιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.62324,21.40103,Sklavenitis Αγρίνιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",264 104 7477,301 00,943,Αιτωλοακαρνανίας,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Παπαστράτου 79-81,Sklavenitis,Αγρίνιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.63051,21.40871,Sklavenitis Αγρίνιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",264 105 8550,301 00,960,Αιτωλοακαρνανίας,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Αγίου Γεωργίου & Καλυδώνος 1,Sklavenitis,Αγρίνιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.61881,21.41105,Sklavenitis Αγρίνιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",264 104 8920,30100,971,Αιτωλοακαρνανίας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Εθνικής Αντιστάσεως 63Α,Sklavenitis,Αγρίνιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.62224,21.41899,Sklavenitis Αγρίνιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","264 103 0980, ",301 00,653,Αιτωλοακαρνανίας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ελ. Βενιζέλου & Κέννεντυ,Sklavenitis,Αγρίνιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.63338,21.4031,Sklavenitis Αγρίνιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","264 103 0970, ",300 27,654,Αιτωλοακαρνανίας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Μιχαήλ Βόδα 67 & Εϋνάρδου,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99463,23.72532,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 883 3273,104 40,909,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ιουλιανού 33-35 & Γ' Σεπτεμβρίου 74-78,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99129,23.72935,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 882 4513, ",104 33,706,Αττικής,https://www.sklavenitis.gr/about/katastimata
Hypermarket  |  Λεωφ. Αθηνών 93-97,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99084,23.70229,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 348 8800,104 47,565,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Φιλαδελφείας 8 & Σάμου,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99237,23.72218,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 825 9960, ",104 40,581,Αττικής,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Αθηνάς 62,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.98319,23.72778,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 324 8024,105 51,589,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Κολοφώνος 4,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.00137,23.72741,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 866 3575,104 46,946,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αχαρνών 300,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.00959,23.72954,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 867 9224, ",112 54,693,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Κανάρη 9,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.97717,23.73858,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 362 4907, ",106 71,587,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ι. Δροσοπούλου 155,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.00771,23.73604,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 862 9434,112 56,593,Αττικής,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Ασκληπιού 28,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.98302,23.73721,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 362 8681,106 80,629,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Πατησίων 295,Sklavenitis,Αθήνα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.0149,23.73534,Sklavenitis Αθήνα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 228 5756,111 44,667,Αττικής,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Μυριοφύτου 55 & Κουντουριώτου 40,Sklavenitis,Αιγάλεω,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99501,23.68546,Sklavenitis Αιγάλεω,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 531 5544,122 42,964,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Θηβών 310 & Θεσσαλονίκης,Sklavenitis,Αιγάλεω,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.98679,23.67505,Sklavenitis Αιγάλεω,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 569 8303, ",122 41,840,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Ιερά Οδός 240,Sklavenitis,Αιγάλεω,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99162,23.68128,Sklavenitis Αιγάλεω,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 531 4594, ",122 42,595,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Κανελλοπούλου 51,Sklavenitis,Αίγιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.24788,22.0913,Sklavenitis Αίγιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",269 102 6650,251 00,942,Αχαΐας,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Λεωφ. Κορίνθου 69 & Αρκαδίου,Sklavenitis,Αίγιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.24184,22.09377,Sklavenitis Αίγιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",269 106 8630,251 00,739,Αχαΐας,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Α. Λόντου 41,Sklavenitis,Αίγιο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.24894,22.08806,Sklavenitis Αίγιο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",269 106 0431,251 00,655,Αχαΐας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Πλαστήρα 57,Sklavenitis,Αλεξάνδρεια,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.62496,22.44281,Sklavenitis Αλεξάνδρεια,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","233 302 3404, ",593 00,780,Ημαθίας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Χ. Γιαννούτσου,Sklavenitis,Αλεξανδρούπολη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.86245,25.87633,Sklavenitis Αλεξανδρούπολη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","255 102 5980, ",681 00,793,Έβρου,https://www.sklavenitis.gr/about/katastimata
Hypermarket  |  4ο χλμ. Αλεξανδρούπολης–Κήπων (περιοχή Μαΐστρος),Sklavenitis,Αλεξανδρούπολη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.85635,25.92398,Sklavenitis Αλεξανδρούπολη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",255 104 5590,681 00,585,Έβρου,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Δημοκρατίας & Εμπορίου,Sklavenitis,Αλεξανδρούπολη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.84803,25.88693,Sklavenitis Αλεξανδρούπολη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",255 108 1922,681 00,656,Έβρου,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Ε.Ο. Αλιβερίου–Λεπούρων, Ο.Τ. 253",Sklavenitis,Αλιβέρι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.40158,24.04422,Sklavenitis Αλιβέρι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",222 302 5282,345 00,669,Ευβοίας,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Ιωνίας 68,Sklavenitis,Άλιμος,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.92324,23.73935,Sklavenitis Άλιμος,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 994 3540,174 56,955,Αττικής,https://www.sklavenitis.gr/about/katastimata
