addr_full,city,country,brand,extras,latitude,longitude,opening_hours,phone,ref,postcode,name,state,website
"Hochstraße 46, 60313 Frankfurt am Main",Frankfurt am Main,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '11:30-23:00', 'Tue': '11:30-23:00', 'Wed': '11:30-23:00', 'Thu': '11:30-23:00', 'Fri': '11:30-23:00', 'Sat': '11:30-23:00', 'Sun': '17:00-23:00'}}",069 8700 66632,6010,60313,Miller & Carter Frankfurt Alte Oper,,https://www.dein-alex.de/Frankfurt am Main
"Saarstraße 15, 66111 Saarbrücken",Saarbrücken,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.232119,6.9929733,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",0681 37 99 59 50,1440,66111,ALEX Saarbrücken,,https://www.dein-alex.de/Saarbrücken
"Schloßstraße 11-15, 45468 Mülheim an der Ruhr",Mülheim an der Ruhr,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.4282538,6.8807228,"{'opening_hours': {'Mon': '08:30-23:00', 'Tue': '08:30-23:00', 'Wed': '08:30-23:00', 'Thu': '08:30-23:00', 'Fri': '08:30-00:00', 'Sat': '08:30-00:00', 'Sun': '09:00-23:00'}}",0208 69819030,1580,45468,ALEX Mülheim an der Ruhr,,https://www.dein-alex.de/Mülheim an der Ruhr
"Europa-Allee 6, 60327 Frankfurt am Main",Frankfurt am Main,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.1089373,8.6509079,"{'opening_hours': {'Mon': '08:30-00:00', 'Tue': '08:30-00:00', 'Wed': '08:30-00:00', 'Thu': '08:30-00:00', 'Fri': '08:30-00:00', 'Sat': '08:30-00:00', 'Sun': '09:00-00:00'}}",069 76807090,1550,60327,ALEX Frankfurt Skyline Plaza,,https://www.dein-alex.de/Frankfurt am Main
"Neuer Markt 17-18, 18055 Rostock",Rostock,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",54.0890713,12.1372132,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-00:00', 'Sat': '09:00-00:00', 'Sun': '09:00-23:00'}}",0381 20 37 60,1470,18055,ALEX Rostock,,https://www.dein-alex.de/Rostock
"Main-Taunus-Zentrum 1, 65843 Main-Taunus-Zentrum/Sulzbach",Main-Taunus-Zentrum/Sulzbach,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-23:00', 'Sat': '09:00-23:00', 'Sun': '09:00-22:00'}}",,1690,65843,ALEX Main-Taunus-Zentrum,,https://www.dein-alex.de/Main-Taunus-Zentrum/Sulzbach
"Kaiserstraße 217, 76133 Karlsruhe",Karlsruhe,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.0093925,8.3921582,"{'opening_hours': {'Mon': '08:00-22:00', 'Tue': '08:00-22:00', 'Wed': '08:00-22:00', 'Thu': '08:00-22:00', 'Fri': '08:00-00:00', 'Sat': '08:00-00:00', 'Sun': '09:00-22:00'}}",0721-569 57 80,1510,76133,ALEX Karlsruhe,,https://www.dein-alex.de/Karlsruhe
"Kamp 30-32, 33098 Paderborn",Paderborn,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.7168523,8.7553053,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-01:00', 'Sat': '08:00-01:00', 'Sun': '09:00-00:00'}}",05251 6999630,1490,33098,ALEX Paderborn,,https://www.dein-alex.de/Paderborn
"Zeil 106, 60313 Frankfurt am Main",Frankfurt am Main,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.1146276,8.679339,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-00:00', 'Sat': '09:00-00:00', 'Sun': '09:00-22:00'}}",069-8700975-30,1650,60313,ALEX Frankfurt MyZeil,,https://www.dein-alex.de/Frankfurt am Main
"Vorsetzen 72, 20459 Hamburg",Hamburg,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '08:00-01:00', 'Tue': '08:00-01:00', 'Wed': '08:00-01:00', 'Thu': '08:00-01:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '09:00-01:00'}}",040 607 769 960,1640,20459,ALEX Hamburg Überseebrücke,,https://www.dein-alex.de/Hamburg
"Kasernenstraße / Graf-Adolf-Platz 48, 40213 Düsseldorf",Düsseldorf,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.2192827,6.776179,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-00:00', 'Sat': '09:00-00:00', 'Sun': '09:00-23:00'}}",0211 56603570,1600,40213,ALEX Düsseldorf,,https://www.dein-alex.de/Düsseldorf
"Markt 48/50, 52062 Aachen",Aachen,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",0241-57109520,1620,52062,ALEX Aachen,,https://www.dein-alex.de/Aachen
"Bismarckstraße 29, 67059 Ludwigshafen",Ludwigshafen,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.4796017,8.447586,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",0621 57 23 920,1270,67059,ALEX Ludwigshafen,,https://www.dein-alex.de/Ludwigshafen
"Rotkreuzplatz 8, 80634 München",München,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",48.1535252,11.5305338,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",089 201893410,1560,80634,ALEX München Rotkreuzplatz,,https://www.dein-alex.de/München
"Domshof 16, 28195 Bremen",Bremen,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",53.0767416,8.8076682,"{'opening_hours': {'Mon': '08:30-22:00', 'Tue': '08:30-22:00', 'Wed': '08:30-22:00', 'Thu': '08:30-22:00', 'Fri': '08:30-23:00', 'Sat': '08:30-23:00', 'Sun': '09:00-22:00'}}",0421 32 26 70,1040,28195,ALEX Bremen Domshof,,https://www.dein-alex.de/Bremen
"Pasinger Bahnhofsplatz 6, 81241 München",München,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",48.1488495,11.459721,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-01:00', 'Sat': '08:00-01:00', 'Sun': '09:00-00:00'}}",089 21 75 62 410,1500,81241,ALEX München Pasing Arcaden,,https://www.dein-alex.de/München
"Panoramastraße 1a, 10178 Berlin",Berlin,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.5206284,13.4069892,"{'opening_hours': {'Mon': '08:00-23:00', 'Tue': '08:00-23:00', 'Wed': '08:00-23:00', 'Thu': '08:00-23:00', 'Fri': '08:00-00:00', 'Sat': '08:00-00:00', 'Sun': '09:00-23:00'}}",030 24 04 763,1240,10178,ALEX Berlin am Alex,,https://www.dein-alex.de/Berlin
"Obernstraße 18-20, 33602 Bielefeld",Bielefeld,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.0202815,8.5279393,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-23:00'}}",0521 56 04 00,1090,33602,ALEX Bielefeld,,https://www.dein-alex.de/Bielefeld
"Platz der Einheit 14, 14467 Potsdam",Potsdam,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.399488,13.0567103,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-02:00', 'Sat': '09:00-02:00', 'Sun': '09:00-00:00'}}",0331 20 09 00,1060,14467,ALEX Potsdam,,https://www.dein-alex.de/Potsdam
"Promenade 1, 46047 Oberhausen",Oberhausen,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.4922207,6.8773179,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",""" 0208-828430""",1390,46047,ALEX Oberhausen CentrO,,https://www.dein-alex.de/Oberhausen
"Neumarkt 2, 09111 Chemnitz",Chemnitz,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.8337269,12.9188694,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '09:00-00:00'}}",0371 66 62 790,1160,09111,ALEX Chemnitz,,https://www.dein-alex.de/Chemnitz
"Obere Königsstraße 28a, 34117 Kassel",Kassel,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.3136466,9.492818,"{'opening_hours': {'Mon': '08:00-23:00', 'Tue': '08:00-23:00', 'Wed': '08:00-23:00', 'Thu': '08:00-23:00', 'Fri': '08:00-00:00', 'Sat': '08:00-00:00', 'Sun': '09:00-23:00'}}",0561 76 61 70,1350,34117,ALEX Kassel,,https://www.dein-alex.de/Kassel
"Müllheimer Straße  2, 79576 Weil am Rhein",Weil am Rhein,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '09:00-23:00', 'Tue': '09:00-23:00', 'Wed': '09:00-23:00', 'Thu': '09:00-23:00', 'Fri': '09:00-00:00', 'Sat': '09:00-00:00', 'Sun': '09:00-23:00'}}",07621 9511650,1680,79576,ALEX Weil am Rhein,,https://www.dein-alex.de/Weil am Rhein
"Zeil 106, 60313 Frankfurt am Main",Frankfurt am Main,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.0593298,8.1786791,"{'opening_hours': {'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-00:00', 'Sat': '09:00-00:00', 'Sun': '09:00-22:00'}}",069 870097535,1651,60313,Brasserie Frankfurt MyZeil,,https://www.dein-alex.de/Frankfurt am Main
"Gutenbergplatz 14, 55116 Mainz",Mainz,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.9987162,8.269877,"{'opening_hours': {'Mon': '08:30-00:00', 'Tue': '08:30-00:00', 'Wed': '08:30-00:00', 'Thu': '08:30-00:00', 'Fri': '08:30-01:00', 'Sat': '08:30-01:00', 'Sun': '09:00-00:00'}}",06131 14 47 350,1190,55116,ALEX Mainz,,https://www.dein-alex.de/Mainz
"An der Frauenkirche 13, 01067 Dresden",Dresden,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '08:00-01:00', 'Tue': '08:00-01:00', 'Wed': '08:00-01:00', 'Thu': '08:00-01:00', 'Fri': '08:00-02:00', 'Sat': '08:00-02:00', 'Sun': '09:00-01:00'}}",0351 82874040,1670,01067,ALEX Dresden an der Frauenkirche,,https://www.dein-alex.de/Dresden
"Naschmarkt 3, 04109 Leipzig",Leipzig,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.3405883,12.3738365,"{'opening_hours': {'Mon': '09:00-01:00', 'Tue': '09:00-01:00', 'Wed': '09:00-01:00', 'Thu': '09:00-01:00', 'Fri': '09:00-02:00', 'Sat': '09:00-02:00', 'Sun': '09:00-01:00'}}",0341 20 06 75 30,1530,04109,ALEX Leipzig,,https://www.dein-alex.de/Leipzig
"Bahnhofstraße 38, 66111 Saarbrücken",Saarbrücken,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.2351104,6.9921702,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-00:00', 'Sat': '09:00-00:00', 'Sun': '09:00-22:00'}}",0681 90 68 480,1540,66111,Brasserie Saarbrücken,,https://www.dein-alex.de/Saarbrücken
"Salzstraße 35, 48143 Münster",Münster,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",51.9599889,7.6308998,"{'opening_hours': {'Mon': '09:00-22:00', 'Tue': '09:00-22:00', 'Wed': '09:00-22:00', 'Thu': '09:00-22:00', 'Fri': '09:00-23:00', 'Sat': '09:00-23:00', 'Sun': '09:00-22:00'}}",0251 98 16 980,1110,48143,Brasserie Münster,,https://www.dein-alex.de/Münster
"Hauptmarkt 10, 90403 Nürnberg",Nürnberg,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.4534118,11.0754964,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-02:00', 'Sat': '09:00-02:00', 'Sun': '09:00-00:00'}}",0911 24 46 980,1280,90403,ALEX Nürnberg,,https://www.dein-alex.de/Nürnberg
"Hauptmarkt 11-12, 08056 Zwickau",Zwickau,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.7177934,12.4942059,"{'opening_hours': {'Mon': '08:00-23:00', 'Tue': '08:00-23:00', 'Wed': '08:00-23:00', 'Thu': '08:00-23:00', 'Fri': '08:00-01:00', 'Sat': '08:00-01:00', 'Sun': '09:00-23:00'}}",0375 27 05 60,1460,08056,ALEX Zwickau,,https://www.dein-alex.de/Zwickau
"Hedwig-Wachenheim-Straße  14, 10243 Berlin",Berlin,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",,,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-01:00', 'Sat': '08:00-01:00', 'Sun': '08:00-00:00'}}",030 233 210 660,1630,10243,ALEX Berlin Uber Platz,,https://www.dein-alex.de/Berlin
"Firmungstraße 32b, 56068 Koblenz",Koblenz,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.3608254,7.5968061,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",0261-50081960,1610,56068,ALEX Koblenz,,https://www.dein-alex.de/Koblenz
"Ulrichplatz 2, 39104 Magdeburg",Magdeburg,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.130737,11.6324244,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",0391 59 74 90,1030,39104,ALEX Magdeburg,,https://www.dein-alex.de/Magdeburg
"Bohlweg 69-70, 38100 Braunschweig",Braunschweig,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",52.2642868,10.5245028,"{'opening_hours': {'Mon': '09:00-00:00', 'Tue': '09:00-00:00', 'Wed': '09:00-00:00', 'Thu': '09:00-00:00', 'Fri': '09:00-01:00', 'Sat': '09:00-01:00', 'Sun': '09:00-00:00'}}",0531-1216600,1420,38100,ALEX Braunschweig,,https://www.dein-alex.de/Braunschweig
"Schwabacher Straße 43, 90762 Fürth",Fürth,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",49.4721706,10.9859429,"{'opening_hours': {'Mon': '08:00-00:00', 'Tue': '08:00-00:00', 'Wed': '08:00-00:00', 'Thu': '08:00-00:00', 'Fri': '08:00-01:00', 'Sat': '08:00-01:00', 'Sun': '09:00-00:00'}}",0911 76 64 10,1410,90762,ALEX Fürth,,https://www.dein-alex.de/Fürth
"Langgasse 38-40, 65183 Wiesbaden",Wiesbaden,Germany,ALEX,"{'brand': 'ALEX', 'fascia': 'ALEX', 'category': 'Food & Beverage', 'edit_date': '2025-03-25', 'lat_lon_source': 'Third Party'}",50.0847927,8.2374165,"{'opening_hours': {'Mon': '08:30-00:00', 'Tue': '08:30-00:00', 'Wed': '08:30-00:00', 'Thu': '08:30-00:00', 'Fri': '08:30-01:00', 'Sat': '08:30-01:00', 'Sun': '09:00-00:00'}}",0611 34 12 740,1200,65183,ALEX Wiesbaden,,https://www.dein-alex.de/Wiesbaden
