addr_full,city,country,brand,extras,latitude,longitude,opening_hours,phone,ref,postcode,name,state,website
"Landgraf-Georg-Straße 25, 64283 Darmstadt, Germany",Darmstadt,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",49.8729551,8.6594481,"{'opening_hours': {'Mon': '17:00-23:00', 'Tue': '17:00-23:00', 'Wed': '17:00-23:00', 'Thu': '17:00-23:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': ' '}}",+49 6151 1019270,2476943,64283,Sausalitos Darmstadt,,https://www.sausalitos.de/standorte
"Hospitalstraße 35, 37073 Göttingen, Germany",Göttingen,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.5299608,9.932048097619187,"{'opening_hours': {'Mon': '17:00-23:00', 'Tue': '17:00-23:00', 'Wed': '17:00-23:00', 'Thu': '17:00-23:00', 'Fri': '17:00-01:00', 'Sat': '17:00-01:00', 'Sun': '17:00-22:00'}}",+49 551 5084827,2476951,37073,Sausalitos Göttingen,,https://www.sausalitos.de/standorte
"Fischertwiete 2, 20095 Hamburg, Germany",Hamburg,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",53.5483012,10.001476989498524,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-24:00'}}",+49 40 33395120,2476949,20095,Sausalitos Hamburg,,https://www.sausalitos.de/standorte
"Markt 1, 45127 Essen, Germany",Essen,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.4567571,7.0121027,"{'opening_hours': {'Mon': '17:00-23:00', 'Tue': '17:00-23:00', 'Wed': '17:00-23:00', 'Thu': '17:00-23:00', 'Fri': '17:00-02:00', 'Sat': '15:00-02:00', 'Sun': '17:00-23:00'}}",+49 201 3843883,2476947,45127,Sausalitos Essen,,https://www.sausalitos.de/standorte
"Heumarkt 67, 50667 Köln, Germany",Köln,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",50.93690465,6.96007604128418,"{'opening_hours': {'Mon': '16:00-24:00', 'Tue': '16:00-24:00', 'Wed': '16:00-24:00', 'Thu': '16:00-24:00', 'Fri': '15:00-02:00', 'Sat': '15:00-02:00', 'Sun': '16:00-24:00'}}",+49 221 99989020,2476954,50667,Sausalitos Köln,,https://www.sausalitos.de/standorte
"Lister Meile 1, 30161 Hannover, Germany",Hannover,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",52.379659,9.7437163,"{'opening_hours': {'Mon': '17:00-23:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-23:00'}}",+49 511 37466614,2476953,30161,Sausalitos Hannover,,https://www.sausalitos.de/standorte
"Erbprinzenstraße 23, 76133 Karlsruhe, Germany",Karlsruhe,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",49.00868165,8.397528249985713,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '12:00-02:00', 'Sat': '12:00-02:00', 'Sun': '17:00-24:00'}}",+49 721 90997070,2476956,76133,Sausalitos Karlsruhe,,https://www.sausalitos.de/standorte
"Osterstraße 38, 30159 Hannover, Germany",Hannover,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",52.371105,9.7391483,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-24:00'}}",+49 511 3530919,2476955,30159,Sausalitos Hannover,,https://www.sausalitos.de/standorte
"Hohenzollernring 50, 50672 Köln, Germany",Köln,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",50.93952205,6.9401604238229275,"{'opening_hours': {'Mon': '17:00-01:00', 'Tue': '17:00-01:00', 'Wed': '17:00-01:00', 'Thu': '17:00-01:00', 'Fri': '16:00-03:00', 'Sat': '16:00-03:00', 'Sun': '16:00-03:00'}}",+49 221 27098822,2476957,50672,Sausalitos Köln,,https://www.sausalitos.de/standorte
"Lohtorstraße 7, 74072 Heilbronn, Germany",Heilbronn,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",49.14366055,9.217338232157802,"{'opening_hours': {'Mon': '12:00-01:00', 'Tue': '12:00-01:00', 'Wed': '12:00-01:00', 'Thu': '12:00-01:00', 'Fri': '12:00-02:00', 'Sat': '12:00-02:00', 'Sun': '12:00-01:00'}}",+49 7131 2035590,2476958,74072,Sausalitos Heilbronn,,https://www.sausalitos.de/standorte
"Mitternachtsgasse 1, 55116 Mainz, Germany",Mainz,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",50.00258305,8.271755577829856,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': ' '}}",+49 6131 6172685,2476962,55116,Sausalitos Mainz,,https://www.sausalitos.de/standorte
"Kaflerstraße 2, 81241 München, Germany",München,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.1492754,11.459972,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-24:00'}}",+49 89 82070544,2476960,81241,Sausalitos München,,https://www.sausalitos.de/standorte
"Sonnenstraße 12, 80331 München, Germany",München,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.1369414,11.564312442435615,"{'opening_hours': {'Mon': '16:00-24:00', 'Tue': '16:00-24:00', 'Wed': '16:00-24:00', 'Thu': '16:00-24:00', 'Fri': '16:00-02:00', 'Sat': '16:00-02:00', 'Sun': '16:00-24:00'}}",+49 89 24407772,2476961,80331,Sausalitos München,,https://www.sausalitos.de/standorte
"Petersstraße 145, 47798 Krefeld, Germany",Krefeld,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.3329061,6.5649853,"{'opening_hours': {'Mon': ' ', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-01:00', 'Sat': '17:00-02:00', 'Sun': '17:00-22:00'}}",+49 2151 6581140,2476959,47798,Sausalitos Krefeld,,https://www.sausalitos.de/standorte
"Waffenplatz 1, 26122 Oldenburg, Germany",Oldenburg,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",53.141704849999996,8.211369115850067,"{'opening_hours': {'Mon': '17:00-23:00', 'Tue': '17:00-23:00', 'Wed': '17:00-23:00', 'Thu': '17:00-23:00', 'Fri': '17:00-01:30', 'Sat': '12:00-01:30', 'Sun': '17:00-23:00'}}",+49 441 97239070,2476966,26122,Sausalitos Oldenburg,,https://www.sausalitos.de/standorte
"Färberstraße 10, 90402 Nürnberg, Germany",Nürnberg,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",49.4497084,11.0725212,"{'opening_hours': {'Mon': '12:00-24:00', 'Tue': '12:00-24:00', 'Wed': '12:00-24:00', 'Thu': '12:00-24:00', 'Fri': '12:00-02:00', 'Sat': '12:00-02:00', 'Sun': '17:00-24:00'}}",+49 911 2004889,2476965,90402,Sausalitos Nürnberg,,https://www.sausalitos.de/standorte
"Innere Münchener Straße 6, 84028 Landshut, Germany",Landshut,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.53056675,12.14766125369529,"{'opening_hours': {'Mon': ' ', 'Tue': '18:00-24:00', 'Wed': '18:00-24:00', 'Thu': '18:00-24:00', 'Fri': '18:00-02:00', 'Sat': '17:00-02:00', 'Sun': ' '}}",+49 871 9750583,2476963,84028,Sausalitos Landshut,,https://www.sausalitos.de/standorte
"Große Klingergasse 7, 94032 Passau, Germany",Passau,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.5747573,13.4586761,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-24:00'}}",+49 851 98905960,2476968,94032,Sausalitos Passau,,https://www.sausalitos.de/standorte
"Sankt-Johanner-Markt 7-9, 66111 Saarbrücken, Germany",Saarbrücken,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",49.2330269,6.995345388284897,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-24:00'}}",+49 681 96597730,2476969,66111,Sausalitos Saarbrücken,,https://www.sausalitos.de/standorte
"Tal 16, 80331 München, Germany",München,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.1359076,11.5789505,"{'opening_hours': {'Mon': '16:00-01:00', 'Tue': '16:00-01:00', 'Wed': '16:00-01:00', 'Thu': '16:00-01:00', 'Fri': '12:00-02:00', 'Sat': '12:00-02:00', 'Sun': '16:00-01:00'}}",+49 89 24295494,2476964,80331,Sausalitos München,,https://www.sausalitos.de/standorte
"Goldgasse 4, 65183 Wiesbaden, Germany",Wiesbaden,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",50.083716949999996,8.241236644843024,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': ' '}}",+49 611 23685720,2476974,65183,Sausalitos Wiesbaden,,https://www.sausalitos.de/standorte
"Porschestraße 32, 38440 Wolfsburg, Germany",Wolfsburg,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",52.4253636,10.788671827205922,"{'opening_hours': {'Mon': '17:00-23:00', 'Tue': '17:00-23:00', 'Wed': '17:00-23:00', 'Thu': '17:00-23:00', 'Fri': '17:00-01:00', 'Sat': '17:00-01:00', 'Sun': '17:00-23:00'}}",+49 5361 8670310,2476975,38440,Sausalitos Wolfsburg,,https://www.sausalitos.de/standorte
"Herzogstraße 42, 42103 Wuppertal, Germany",Wuppertal,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",51.25713775,7.142469162379912,"{'opening_hours': {'Mon': '17:00-01:00', 'Tue': '17:00-01:00', 'Wed': '17:00-01:00', 'Thu': '17:00-01:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-01:00'}}",+49 202 4782898,2476973,42103,Sausalitos Wuppertal,,https://www.sausalitos.de/standorte
"Gesandtenstraße 18, 93047 Regensburg, Germany",Regensburg,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",49.0187425,12.090924369334253,"{'opening_hours': {'Mon': '17:00-24:00', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': ' '}}",+49 941 46522795,2476970,93047,Sausalitos Regensburg,,https://www.sausalitos.de/standorte
"Marienstraße 3B, 70178 Stuttgart, Germany",Stuttgart,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.7730392,9.173104676204353,"{'opening_hours': {'Mon': '12:00-24:00', 'Tue': '12:00-24:00', 'Wed': '12:00-24:00', 'Thu': '12:00-24:00', 'Fri': '12:00-02:00', 'Sat': '12:00-02:00', 'Sun': '16:00-24:00'}}",+49 711 72233573,2476972,70178,Sausalitos Stuttgart,,https://www.sausalitos.de/standorte
"Europastraße 9, 57072 Siegen, Germany",Siegen,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",50.87703865,8.01947503869711,"{'opening_hours': {'Mon': ' ', 'Tue': '17:00-24:00', 'Wed': '17:00-24:00', 'Thu': '17:00-24:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-24:00'}}",+49 271 31349754,2476971,57072,Sausalitos Siegen,,https://www.sausalitos.de/standorte
"Theodor-Heuss-Straße 10, 70173 Stuttgart, Germany",Stuttgart,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.77734955,9.173594707870372,"{'opening_hours': {'Mon': '12:00-01:00', 'Tue': '12:00-01:00', 'Wed': '12:00-01:00', 'Thu': '12:00-01:00', 'Fri': '12:00-03:00', 'Sat': '12:00-03:00', 'Sun': '14:00-01:00'}}",+49 711 25394920,2476976,70173,Sausalitos Stuttgart,,https://www.sausalitos.de/standorte
"Serrahnstraße 1, 21029 Hamburg, Germany",Hamburg,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",53.489523000000005,10.208816768946088,"{'opening_hours': {'Mon': '17:00-23:00', 'Tue': '17:00-23:00', 'Wed': '17:00-23:00', 'Thu': '17:00-23:00', 'Fri': '17:00-02:00', 'Sat': '17:00-02:00', 'Sun': '17:00-23:00'}}",+49 40 537978020,3077639,21029,Sausalitos Hamburg,,https://www.sausalitos.de/standorte
"O2 1-10, 68161 Mannheim, Germany",Mannheim,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",49.4872063,8.4669479,"{'opening_hours': {'Mon': '12:00-24:00', 'Tue': '12:00-24:00', 'Wed': '12:00-24:00', 'Thu': '12:00-24:00', 'Fri': '12:00-03:00', 'Sat': '12:00-03:00', 'Sun': '12:00-24:00'}}",+49 621 12181140,3575958,68161,Sausalitos Mannheim,,https://www.sausalitos.de/standorte
"Sempt 20, 85368 Moosburg an der Isar, Germany",Moosburg an der Isar,Germany,Sausalitos,"{'brand': 'Sausalitos', 'fascia': 'Sausalitos', 'category': 'Food & Beverages', 'edit_date': '2025-03-24', 'lat_lon_source': 'Third-party'}",48.4793917,11.99810623425481,"{'opening_hours': {'Mon': ' ', 'Tue': ' ', 'Wed': '12:00-21:00', 'Thu': '12:00-21:00', 'Fri': '12:00-21:00', 'Sat': '12:00-21:00', 'Sun': '12:00-21:00'}}",+49 8709 949900,3799624,85368,Sausalitos Moosburg an der Isar,,https://www.sausalitos.de/standorte
