full_addr,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
"Appuldurcombe Road, Wroxall, Isle of Wight PO38 3EW",Wroxall,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.617314,-1.230424,{'opening_hours': {}},,3736,PO38 3EW,Appuldurcombe House,Isle of Wight,https://www.english-heritage.org.uk/visit/places/appuldurcombe-house/
"Avebury, Marlborough, Wiltshire SN8 1RF",Marlborough,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.427986,-1.857178,{'opening_hours': {}},,3394,SN8 1RF,"Alexander Keiller Museum, Avebury",Wiltshire,https://www.english-heritage.org.uk/visit/places/alexander-keiller-museum-avebury/
", Ambleside, Cumbria LA22 0EN",Ambleside,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.42137,-2.964776,{'opening_hours': {}},,3748,LA22 0EN,Ambleside Roman Fort,Cumbria,https://www.english-heritage.org.uk/visit/places/ambleside-roman-fort/
"Acton Burnell, Shrewsbury, Shropshire SY5 7PE",Shrewsbury,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.61301,-2.687263,{'opening_hours': {}},,3159,SY5 7PE,Acton Burnell Castle,Shropshire,https://www.english-heritage.org.uk/visit/places/acton-burnell-castle/
"Aldborough, Boroughbridge, North Yorkshire YO51 9ES",Boroughbridge,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.089866,-1.382341,{'opening_hours': {}},01423 322768,3195,YO51 9ES,Aldborough Roman Site,North Yorkshire,https://www.english-heritage.org.uk/visit/places/aldborough-roman-site/
"Monument Close, York, North Yorkshire YO24 4HT",York,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",53.956389,-1.117473,{'opening_hours': {}},01904 797935,3207,YO24 4HT,York Cold War Bunker,North Yorkshire,https://www.english-heritage.org.uk/visit/places/york-cold-war-bunker/
"Quay Street, Yarmouth, Isle of Wight PO41 0PB. For car parking use PO41 0NS",Yarmouth,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.705075,-1.502159,{'opening_hours': {}},01983 760444,3474,PO41 0PB. For car parking use PO41 0NS,Yarmouth Castle,Isle of Wight,https://www.english-heritage.org.uk/visit/places/yarmouth-castle/
"Wroxeter Roman City, near Shrewsbury, Shropshire SY5 6PH",near Shrewsbury,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.674292,-2.645545,{'opening_hours': {}},01743 761330,3191,SY5 6PH,Wroxeter Roman City,Shropshire,https://www.english-heritage.org.uk/visit/places/wroxeter-roman-city/
"Silsoe, , Bedfordshire MK45 4HR",,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.007832,-0.41492969,{'opening_hours': {}},0370 333 1181,3227,MK45 4HR,Wrest Park,Bedfordshire,https://www.english-heritage.org.uk/visit/places/wrest-park/
"Countess Road, Amesbury, Wiltshire SP4 7AR",Amesbury,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.18864,-1.785709,{'opening_hours': {}},0870 3331181,2609,SP4 7AR,Woodhenge,Wiltshire,https://www.english-heritage.org.uk/visit/places/woodhenge/
"Winterbourne Abbas , Dorchester, Dorset DT2 9XD",Dorchester,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.712974,-2.580732,{'opening_hours': {}},,2805,DT2 9XD,Winterbourne Poor Lot Barrows,Dorset,https://www.english-heritage.org.uk/visit/places/winterbourne-poor-lot-barrows/
"Military Road, Winshields, Northumberland NE47 7AN",Winshields,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",55.002561,-2.401338,{'opening_hours': {}},,2481,NE47 7AN,Winshields Wall - Hadrian&#39;s Wall,Northumberland,https://www.english-heritage.org.uk/visit/places/winshields-wall-hadrians-wall/
"Oathill Lane, Cirencester, Gloucestershire GL7 6PU",Cirencester,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.674405,-2.096127,{'opening_hours': {}},,2833,GL7 6PU,"Windmill Tump Long Barrow, Rodmarton",Gloucestershire,https://www.english-heritage.org.uk/visit/places/windmill-tump-long-barrow-rodmarton/
"College Street, Winchester, Hampshire S023 9NB",Winchester,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.059087,-1.309543,{'opening_hours': {}},,2649,S023 9NB,Wolvesey Castle (Old Bishop&#39;s Palace),Hampshire,https://www.english-heritage.org.uk/visit/places/wolvesey-castle-old-bishops-palace/
"Worcester Road, Great Witley, Worcestershire WR6 6JT",Great Witley,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.281905,-2.341596,{'opening_hours': {}},01299 896636,3434,WR6 6JT,Witley Court and Gardens,Worcestershire,https://www.english-heritage.org.uk/visit/places/witley-court-and-gardens/
", Gilsland, Cumbria CA8 7DA",Gilsland,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.990684,-2.581993,{'opening_hours': {}},,2745,CA8 7DA,"Willowford Wall, Turrets and Bridge - Hadrian&#39;s Wall",Cumbria,https://www.english-heritage.org.uk/visit/places/willowford-wall-turrets-and-bridge-hadrians-wall/
"Wigmore, Leominster, Herefordshire HR6 9UB",Leominster,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.316132,-2.869599,{'opening_hours': {}},,3058,HR6 9UB,Wigmore Castle,Herefordshire,https://www.english-heritage.org.uk/visit/places/wigmore-castle/
"Cosford, Shifnal, Shropshire WV8 1QZ",Shifnal,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.664918,-2.256476,{'opening_hours': {}},,3643,WV8 1QZ,White Ladies Priory,Shropshire,https://www.english-heritage.org.uk/visit/places/white-ladies-priory/
"Clink Street, Southwark, London SE1 9DG",Southwark,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.506165,-0.089743,{'opening_hours': {}},,2657,SE1 9DG,Winchester Palace,London,https://www.english-heritage.org.uk/visit/places/winchester-palace/
"Abbey Lane, Whitby, North Yorkshire YO22 4JT",Whitby,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.489051,-0.602536,{'opening_hours': {}},01947 603568,3215,YO22 4JT,Whitby Abbey,North Yorkshire,https://www.english-heritage.org.uk/visit/places/whitby-abbey/
"Winterbourne Monkton, Swindon, Wiltshire SN4 9NW",Swindon,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.440259,-1.874103,{'opening_hours': {}},01672 539 250,2605,SN4 9NW,"Windmill Hill, Avebury",Wiltshire,https://www.english-heritage.org.uk/visit/places/windmill-hill/
"Wheeldale Moor, Goathland, North Yorkshire YO22 5AP",Goathland,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.366301,-0.762467,{'opening_hours': {}},,2661,YO22 5AP,Wheeldale Roman Road,North Yorkshire,https://www.english-heritage.org.uk/visit/places/wheeldale-roman-road/
"South Wingfield, Alfreton, Derbyshire DE55 7NH",Alfreton,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",53.088076,-1.438734,{'opening_hours': {}},,2653,DE55 7NH,Wingfield Manor,Derbyshire,https://www.english-heritage.org.uk/visit/places/wingfield-manor/
"The Sands, Clitheroe, Lancashire BB7 9TN",Clitheroe,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",53.820397,-2.412125,{'opening_hours': {}},,3054,BB7 9TN,Whalley Abbey Gatehouse,Lancashire,https://www.english-heritage.org.uk/visit/places/whalley-abbey-gatehouse/
"West Kennett, Marlborough, Wiltshire SN8 1QH",Marlborough,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.40855,-1.847875,{'opening_hours': {}},01672 539 250,2872,SN8 1QH,"West Kennet Long Barrow, Avebury",Wiltshire,https://www.english-heritage.org.uk/visit/places/west-kennet-long-barrow/
"Drop Redoubt Road, Dover, Kent CT17 9DZ",Dover,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.11934,1.303027,{'opening_hours': {}},01304 211067,3111,CT17 9DZ,"Western Heights, Dover",Kent,https://www.english-heritage.org.uk/visit/places/western-heights-dover/
"Wenlock Priory, Much Wenlock, Telford, Shropshire TF13 6HS","Much Wenlock, Telford",United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.597922,-2.555457,{'opening_hours': {}},01952 727466,2581,TF13 6HS,Wenlock Priory,Shropshire,https://www.english-heritage.org.uk/visit/places/wenlock-priory/
"Castle Close, Weeting, Norfolk IP27 0RQ",Weeting,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.472282,0.617984,{'opening_hours': {}},,2669,IP27 0RQ,Weeting Castle,Norfolk,https://www.english-heritage.org.uk/visit/places/weeting-castle/
"Apsley Way, Hyde Park Corner, London W1J 7JZ",Hyde Park Corner,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.50258,-0.1508,{'opening_hours': {}},020 7930 2726,3398,W1J 7JZ,Wellington Arch,London,https://www.english-heritage.org.uk/visit/places/wellington-arch/
"Waverley Lane, Farnham, Surrey GU9 8EP",Farnham,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.200114,-0.759131,{'opening_hours': {}},,2753,GU9 8EP,Waverley Abbey,Surrey,https://www.english-heritage.org.uk/visit/places/waverley-abbey/
"Wetheral, Carlisle, Cumbria CA4 8ES",Carlisle,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.879144,-2.829101,{'opening_hours': {}},,2956,CA4 8ES,Wetheral Priory Gatehouse,Cumbria,https://www.english-heritage.org.uk/visit/places/wetheral-priory-gatehouse/
"Avebury, Marlborough, Gloucestershire SN8 1RD",Marlborough,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.418558,-1.83898,{'opening_hours': {}},01672 539 250,2665,SN8 1RD,"West Kennet Avenue, Avebury",Gloucestershire,https://www.english-heritage.org.uk/visit/places/west-kennet-avenue/
"Kingsdown Road, Deal, Kent CT14 7LJ",Deal,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.2,1.404177,{'opening_hours': {}},0370 333 1181,3462,CT14 7LJ,Walmer Castle and Gardens,Kent,https://www.english-heritage.org.uk/visit/places/walmer-castle-and-gardens/
"Castle Terrace, Warkworth, Northumberland NE65 0UJ",Warkworth,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",55.3444,-1.611218,{'opening_hours': {}},01665 711423,3259,NE65 0UJ,Warkworth Castle,Northumberland,https://www.english-heritage.org.uk/visit/places/warkworth-castle-and-hermitage/
"Greenhead, Hexham, Northumberland CA8 7JD",Hexham,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.991023,-2.509512,{'opening_hours': {}},,2673,CA8 7JD,Walltown Crags - Hadrian&#39;s Wall,Northumberland,https://www.english-heritage.org.uk/visit/places/walltown-crags-hadrians-wall/
"Watling Street, Lichfield, Staffordshire WS14 0AW",Lichfield,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.655889,-1.855802,{'opening_hours': {}},,2996,WS14 0AW,Wall Roman Site,Staffordshire,https://www.english-heritage.org.uk/visit/places/wall-roman-site/
"Coaley, Dursley, Gloucestershire GL11 5BH",Dursley,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.697332,-2.304548,{'opening_hours': {}},,2829,GL11 5BH,Uley Long Barrow (Hetty Pegler&#39;s Tump),Gloucestershire,https://www.english-heritage.org.uk/visit/places/uley-long-barrow-hetty-peglers-tump/
"Upnor Road, Rochester, Kent ME2 4XG",Rochester,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.408764,0.52965,{'opening_hours': {}},01634 331073,3171,ME2 4XG,Upnor Castle,Kent,https://www.english-heritage.org.uk/visit/places/upnor-castle/
"Waltham Abbey Gardens, Waltham Abbey, Essex EN9 1XQ",Waltham Abbey,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.687406,-0.001366,{'opening_hours': {}},08456 770 600,2589,EN9 1XQ,Waltham Abbey Gatehouse and Bridge,Essex,https://www.english-heritage.org.uk/visit/places/waltham-abbey-gatehouse-and-bridge/
", , Oxfordshire SN7 7UK",,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.574602,-1.571416,{'opening_hours': {}},,2301,SN7 7UK,Uffington Castle - White Horse and Dragon Hill,Oxfordshire,https://www.english-heritage.org.uk/visit/places/uffington-castle-white-horse-and-dragon-hill/
"Pier Road, Tynemouth, Tyne and Wear NE30 4BZ",Tynemouth,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",55.017888,-1.417383,{'opening_hours': {}},0191 257 1090,3123,NE30 4BZ,Tynemouth Priory and Castle,Tyne and Wear,https://www.english-heritage.org.uk/visit/places/tynemouth-priory-and-castle/
"St Buryan, Penzance, Cornwall TR19 6BQ",Penzance,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.063372,-5.589889,{'opening_hours': {}},,2537,TR19 6BQ,Tregiffian Burial Chamber,Cornwall,https://www.english-heritage.org.uk/visit/places/tregiffian-burial-chamber/
"Main Street, Carnforth, Lancashire LA5 9PH",Carnforth,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.14426,-2.765156,{'opening_hours': {}},,3050,LA5 9PH ,Warton Old Rectory,Lancashire,https://www.english-heritage.org.uk/visit/places/warton-old-rectory/
"Mill Lane, Titchfield, Hampshire PO15 5RA",Titchfield,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.856351,-1.229445,{'opening_hours': {}},,2297,PO15 5RA,Titchfield Abbey,Hampshire,https://www.english-heritage.org.uk/visit/places/titchfield-abbey/
"Tilbury Fort, Tilbury, Essex RM18 7NR",Tilbury,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.451978,0.374501,{'opening_hours': {}},01375 858489,2577,RM18 7NR,Tilbury Fort,Essex,https://www.english-heritage.org.uk/visit/places/tilbury-fort/
", Dartmoor, Devon PL7 5EJ",Dartmoor,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.4969,-4.0109,{'opening_hours': {}},,2317,PL7 5EJ,Upper Plym Valley,Devon,https://www.english-heritage.org.uk/visit/places/upper-plym-valley/
"Castle Street, Totnes, Devon TQ9 5NU",Totnes,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.431667,-3.689131,{'opening_hours': {}},01803 864406,3131,TQ9 5NU,Totnes Castle,Devon,https://www.english-heritage.org.uk/visit/places/totnes-castle/
"Castle Road, Tintagel, Cornwall PL34 0HE",Tintagel,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.667442,-4.756592,{'opening_hours': {}},,3211,PL34 0HE,Tintagel Castle,Cornwall,https://www.english-heritage.org.uk/visit/places/tintagel-castle/
"Brandon Road, Thetford, Norfolk IP24 3PN",Thetford,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.413715,0.74265,{'opening_hours': {}},,2597,IP24 3PN,"Thetford, Church of the Holy Sepulchre",Norfolk,https://www.english-heritage.org.uk/visit/places/thetford-church-of-the-holy-sepulchre/
"Brandon Road, Thetford, Norfolk IP24 3NE",Thetford,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",52.423776,0.706785,{'opening_hours': {}},,2641,IP24 3NE,Thetford Warren Lodge,Norfolk,https://www.english-heritage.org.uk/visit/places/thetford-warren-lodge/
", , Wiltshire SN8 1EY",,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.409872,-1.830271,{'opening_hours': {}},01672 539250,2501,SN8 1EY,"The Sanctuary, Avebury",Wiltshire,https://www.english-heritage.org.uk/visit/places/the-sanctuary/
"Winterbourne Abbas, Dorchester, Dorset DT2 9LX",Dorchester,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",50.711451,-2.550948,{'opening_hours': {}},,3545,DT2 9LX,The Nine Stones,Dorset,https://www.english-heritage.org.uk/visit/places/the-nine-stones/
", Ashbury, Oxfordshire",Ashbury,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.566545,-1.594088,{'opening_hours': {}},,2505,,Wayland&#39;s Smithy,Oxfordshire,https://www.english-heritage.org.uk/visit/places/waylands-smithy/
"Centenary Way, Malton, North Yorkshire YO17 9TD",Malton,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.068743,-0.68958,{'opening_hours': {}},,2916,YO17 9TD,Wharram Percy Deserted Medieval Village,North Yorkshire,https://www.english-heritage.org.uk/visit/places/wharram-percy-deserted-medieval-village/
"The Cenotaph, Westminster, London SW1A 2ET",Westminster,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",51.502652,-0.126090,{'opening_hours': {}},,105213,SW1A 2ET,The Cenotaph,London,https://www.english-heritage.org.uk/visit/places/the-cenotaph/
", West Tanfield, North Yorkshire DL8 2RA",West Tanfield,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",54.208998,-1.562708,{'opening_hours': {}},,174468,DL8 2RA,Thornborough Henges,North Yorkshire,https://www.english-heritage.org.uk/visit/places/thornborough-henges/
"Thornton Curtis, Ulceby, North Lincolnshire DN39 6TU",Ulceby,United Kingdom,English Heritage,"{'brand': 'English Heritage', 'fascia': 'English Heritage', 'category': 'Heritage Site', 'edit_date': '20250405', 'lat_lon_source': 'website'}",53.654166,-0.311696,{'opening_hours': {}},01469 541445,3203,DN39 6TU,Thornton Abbey and Gatehouse,North Lincolnshire,https://www.english-heritage.org.uk/visit/places/thornton-abbey-and-gatehouse/
