addr_full,city,country,brand,extras,lat,lon,opening_times,name,phone,postcode,ref,state,website
Werftstr.152 26382 Wilhelmshaven,Wilhelmshaven,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",53.5278210,8.0982500,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Wilhelmshaven",Phone: 04421 5005988,,78,,https://www.mixmarkt.eu/en/germany/stores/84/
Goerdelerstr.49a 65197 Wiesbaden,Wiesbaden,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.0877800,8.1999400,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Wiesbaden",Phone: 0611 60922280,,299,,https://www.mixmarkt.eu/en/germany/stores/132/
Karl-Carstens-Straße 4 97877 Wertheim,Wertheim,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.7587000,9.4934100,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Wertheim",Phone: 09342 935352,,99,,https://www.mixmarkt.eu/en/germany/stores/110/
Boschstr. 10 88250 Weingarten,Weingarten,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",47.8151318,9.6275422,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Weingarten",Phone: 0751 56994275,,69,,https://www.mixmarkt.eu/en/germany/stores/74/
Pfeifferstr. 2 92637 Weiden,Weiden,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.691821,12.171097,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Weiden",Phone: 0961 38178169,,951,,https://www.mixmarkt.eu/en/germany/stores/208/
Brandenburger Strasse 2 79761 Waldshut,Waldshut,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",47.6319400,8.2717300,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Waldshut-Tiengen",Phone: 07741 686121,,5,,https://www.mixmarkt.eu/en/germany/stores/5/
Aussiger Str. 25g 84478 Waldkraiburg,Waldkraiburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.199134,12.394404,,"Mix Markt, Waldkraiburg",Phone: 08638 9555615,,957,,https://www.mixmarkt.eu/en/germany/stores/206/
Brandenburger Str. 6 51545 Waldbröl,Waldbröl,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.8867887,7.6216611,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Waldbröl",Phone: 02291 9125477,,784,,https://www.mixmarkt.eu/en/germany/stores/77/
Mannheimer Str. 129 68519 Viernheim,Viernheim,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.5274200,8.5613500,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Viernheim",Phone: 06204 6087238,,83,,https://www.mixmarkt.eu/en/germany/stores/90/
Am Weidengraben 9 54296 Trier,Trier,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.7517071,6.6851196,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Trier",Phone: 0651 99144866,,47,,https://www.mixmarkt.eu/en/germany/stores/49/
Ernst-Reuter-Platz 4 70499 Stuttgart,Stuttgart,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.813033,9.104408,,"Mix Markt, Stuttgart",Phone: 0711 80638730,,732,,https://www.mixmarkt.eu/en/germany/stores/166/
Wallensteinstraße 3 70437 Stuttgart,Stuttgart,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.8417200,9.2076300,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Stuttgart",Phone: 0711 8494241,,41,,https://www.mixmarkt.eu/en/germany/stores/43/
Finkenstr.17 94315 Straubing,Straubing,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.8829823,12.5971876,,"Mix Markt, Straubing",Phone: 09421 185996,,101,,https://www.mixmarkt.eu/en/germany/stores/112/
Alte Dorfstr. 25 21684 Stade,Stade,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",53.5865700,9.4207300,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Stade-Wiepenkathen",Phone: 04141 9399736,,32,,https://www.mixmarkt.eu/en/germany/stores/34/
Dudenhofer Strasse 44 67346 Speyer,Speyer,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.3184500,8.4176200,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Speyer",Phone: 06232 6580378,,8,,https://www.mixmarkt.eu/en/germany/stores/8/
Kaiser-Otto-Weg 7 59494 Soest,Soest,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.5566700,8.1077900,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Soest",Phone: 02921 6712167,,365,,https://www.mixmarkt.eu/en/germany/stores/140/
Neulandstr.12 74889 Sinsheim,Sinsheim,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.2467252,8.8806480,,"Mix Markt, Sinsheim",Phone: 07261 9734880,,702,,https://www.mixmarkt.eu/en/germany/stores/156/
Berliner Str.6 78224 Singen,Singen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",47.7430200,8.8505600,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': ''}}","Mix Markt, Singen",Phone: 07731 8279819,,92,,https://www.mixmarkt.eu/en/germany/stores/101/
Mercedesstr. 12 71063 Sindelfingen,Sindelfingen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.7058988,8.9983377,,"Mix Markt, Sindelfingen",Phone:,,67,,https://www.mixmarkt.eu/en/germany/stores/72/
Friedrich-Wilhelm-Straße 134 57074 Siegen,Siegen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.8641300,8.0334700,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Siegen",Phone: 0271 31922300,,91,,https://www.mixmarkt.eu/en/germany/stores/99/
Bismarckstr. 55 56470 Bad Marienberg,Bad Marienberg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.6459900,7.9441600,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mini Mix, Bad Marienberg",Phone: 02661 6880,,286,,https://www.mixmarkt.eu/en/germany/stores/351/
Händelstr.14 53721 Siegburg,Siegburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.7873279,7.2141876,"{'opening_hours': {'Mon': '08:00-19:00', 'Tue': '08:00-19:00', 'Wed': '08:00-19:00', 'Thu': '08:00-19:00', 'Fri': '08:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Siegburg",Phone: 02241 1275888,,98,,https://www.mixmarkt.eu/en/germany/stores/109/
Danziger Str. 1 89250 Senden,Senden,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.3320357,10.0412855,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Senden",Phone: 07307 952190,,56,,https://www.mixmarkt.eu/en/germany/stores/60/
Breslaustraße 14 97424 Schweinfurt,Schweinfurt,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.0375491,10.2002441,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Schweinfurt",Phone: 09721 4731759,,4,,https://www.mixmarkt.eu/en/germany/stores/4/
Ettmannsdorfer Str. 24 92421 Schwandorf,Schwandorf,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.3297279,12.1027862,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Schwandorf",Phone:,,709,,https://www.mixmarkt.eu/en/germany/stores/164/
Werrenwiesenstraße 78 73525 Schwäbisch Gmünd,Schwäbisch Gmünd,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.7993579,9.8242768,,"Mix Markt, Schwäbisch Gmünd",Phone: 07171 9982516,,800,,https://www.mixmarkt.eu/en/germany/stores/200/
Fürther Str. 35 91126 Schwabach,Schwabach,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.3364173,11.0218803,,"Mix Markt, Schwabach",Phone: 09122 6939835,,23,,https://www.mixmarkt.eu/en/germany/stores/187/
Krühgarten 79 38228 Salzgitter,Salzgitter,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.1319899,10.2920944,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Salzgitter",Phone: 05341 2259420,,100,,https://www.mixmarkt.eu/en/germany/stores/111/
Käthe-Kollwitz-Str. 16 66115 Saarbrücken,Saarbrücken,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.2431953,6.9655584,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': ''}}","Mix Markt, Saarbrücken",Phone: 0681 99196633,,81,,https://www.mixmarkt.eu/en/germany/stores/88/
Talliner Straße 3 18107 Rostock,Rostock,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",54.1333802,12.0584400,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '09:00-19:00', 'Sun': ''}}","Mix Markt, Rostock",Phone: 0381 44056599,,691,,https://www.mixmarkt.eu/en/germany/stores/100/
Finsterwalderstr.48 83026 Rosenheim,Rosenheim,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",47.8503400,12.0966800,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Rosenheim",Phone: 08031 3045185,,42,,https://www.mixmarkt.eu/en/germany/stores/44/
Alter Lingener Damm 15 48429 Rheine,Rheine,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",52.2877982,7.4417657,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Rheine",Phone: 05971 9149655,,744,,https://www.mixmarkt.eu/en/germany/stores/71/
Olgastraße 9 72770 Reutlingen,Reutlingen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.4964018,9.1768192,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Reutlingen - Betzingen",Phone: 07121 3043438,,2,,https://www.mixmarkt.eu/en/germany/stores/2/
Langobardenstr.2 93053 Regensburg,Regensburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.9947899,12.1144325,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Regensburg",Phone: 0941 78527410,,282,,https://www.mixmarkt.eu/en/germany/stores/121/
Sohlstättenstraße 46 40880 Ratingen,Ratingen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.3090981,6.8170862,,"Mix Markt, Ratingen",Phone: 02102 1537991,,921,,https://www.mixmarkt.eu/en/germany/stores/191/
Gutenbergstr.1-3 76437 Rastatt,Rastatt,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.866284,8.189762,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Rastatt",Phone: 07222 4067861,,10,,https://www.mixmarkt.eu/en/germany/stores/10/
St.-Ulrich-Str.6 94060 Pocking,Pocking,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.4029500,13.3090700,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Pocking",Phone: 08531 4119395,,658,,https://www.mixmarkt.eu/en/germany/stores/149/
Winzler Str. 67 66955 Pirmasens,Pirmasens,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",49.1964838,7.5994178,,"Mix Markt, Pirmasens",Phone: 06331 1442094,,104,,https://www.mixmarkt.eu/en/germany/stores/115/
Pillauer Straße 14 75181 Pforzheim,Pforzheim,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.8837000,8.7345100,"{'opening_hours': {'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00', 'Sun': ''}}","Mix Markt, Pforzheim",Phone: 07231 2980085,,61,,https://www.mixmarkt.eu/en/germany/stores/65/
Alte Raiffeisenstrasse 3 94036 Passau,Passau,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.5844541,13.3953161,,"Mix Markt, Passau",Phone: 0851 96611104,,849,,https://www.mixmarkt.eu/en/germany/stores/186/
Cloppenburger Straße 228 26133 Oldenburg,Oldenburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",53.1141300,8.2127800,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '09:00-19:00', 'Sun': ''}}","Mix Markt, Oldenburg",Phone: 0441 96027123,,43,,https://www.mixmarkt.eu/en/germany/stores/45/
Wichernstr. 2 77656 Offenburg,Offenburg,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.4622000,7.9241900,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Offenburg",Phone: 0781 99024074,,377,,https://www.mixmarkt.eu/en/germany/stores/143/
Richard-Wagner-Str.32 63069 Offenbach,Offenbach,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.0889215,8.7556932,"{'opening_hours': {'Mon': '', 'Tue': '', 'Wed': '', 'Thu': '', 'Fri': '', 'Sat': '', 'Sun': ''}}","Mix Markt, Offenbach",Phone: 069 83005988,,34,,https://www.mixmarkt.eu/en/germany/stores/36/
Stukenbrocker Weg 18a 33813 Oerlinghausen,Oerlinghausen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",51.9406200,8.6546800,"{'opening_hours': {'Mon': '09:00-19:00', 'Tue': '09:00-19:00', 'Wed': '09:00-19:00', 'Thu': '09:00-19:00', 'Fri': '09:00-19:00', 'Sat': '', 'Sun': ''}}","Mix Markt, Oerlinghausen",Phone: 05202 9776861,,1,,https://www.mixmarkt.eu/en/germany/stores/1/
Leipziger Str.1 63179 Obertshausen,Obertshausen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",50.0751469,8.8531144,,"Mix Markt, Obertshausen",Phone: 06104 4053930,,783,,https://www.mixmarkt.eu/en/germany/stores/181/
Staufenstr.6 72622 Nürtingen,Nürtingen,Germany,Mix Markt,"{'brand': 'Mix Markt', 'fascia': 'Mix Markt', 'category': 'Retail', 'edit_date': '20250506', 'lat_lon_source': 'Third Party'}",48.6158300,9.3505200,,"Mix Markt, Nürtingen",Phone: 07022 604516,,86,,https://www.mixmarkt.eu/en/germany/stores/94/
