address_full,city,country,brand,extras,lat,lon,day_opening_status,phone,ref,post_code,name,state,website
"Midhurst, West Sussex",Midhurst,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.9973848,-0.7579017,CLOSED,+443442491895,5389,,Woolbeding Gardens,,https://www.nationaltrust.org.uk/visit/sussex/woolbeding-gardens
"Bateman's Lane, Burwash, East Sussex, TN19 7DS",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.987701,0.37695,FULLY_OPEN,+441435882302,24,TN19 7DS,Bateman's,,https://www.nationaltrust.org.uk/visit/sussex/batemans
"East Dean, near Eastbourne, East Sussex, BN20 0AB",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.742905,0.201166,FULLY_OPEN,+441323423197,5125,BN20 0AB,Birling Gap and the Seven Sisters,,https://www.nationaltrust.org.uk/visit/sussex/birling-gap-and-the-seven-sisters
"South Harting, Petersfield, West Sussex, GU31 5QR",West Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.952702,-0.88896,CLOSED,+441730825415,345,GU31 5QR,Uppark House and Garden,,https://www.nationaltrust.org.uk/visit/sussex/uppark-house-and-garden
"Rodmell, Lewes, East Sussex, BN7 3HF",East Sussex,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.8396,0.01917,CLOSED,+441273474760,227,BN7 3HF,Monk's House,,https://www.nationaltrust.org.uk/visit/sussex/monks-house
"Slindon, near Arundel, West Sussex",near Arundel,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.8608835,-0.6364376,FULLY_OPEN,+441243814730,6062,,Slindon Estate,,https://www.nationaltrust.org.uk/visit/sussex/slindon-estate
"Sturminster Marshall, near Wimborne Minster, Dorset, BH21 4BX",Dorset,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.805087,-2.0610352,CLOSED,+441258858051,366,BH21 4BX,White Mill,,https://www.nationaltrust.org.uk/visit/dorset/white-mill
"Forest Gate car park, near Broadclyst, Exeter, Devon",Exeter,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.7875671,-3.421156,,+441392881345,6220,,Ashclyst Forest,,https://www.nationaltrust.org.uk/visit/devon/ashclyst-forest
"Near Shaftesbury, Dorset",Near Shaftesbury,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.967604,-2.163719,,+441297489481,5292,,Fontmell and Melbury Downs,,https://www.nationaltrust.org.uk/visit/dorset/fontmell-and-melbury-downs
"Hatfield Road, Potters Bar, Hertfordshire, EN6 1HS",Hertfordshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.700131,-0.174226,FULLY_OPEN,+441582873663,6193,EN6 1HS,Morven Park,,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/morven-park
Devon,,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.338755,-3.547343,FULLY_OPEN,+441803843235,5203,,Brownstone and Coleton Camp,,https://www.nationaltrust.org.uk/visit/devon/brownstone-and-coleton-camp
"Contact - Woolacombe Rangers, Pay & Display car park (not NT), Mortehoe, Devon, EX34 7DT - SatNav for car park",Devon,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.187373,-4.198934,,+441271870555,6217,EX34 7DT,Mortehoe,,https://www.nationaltrust.org.uk/visit/devon/mortehoe
"Nr Broadwindsor, Beaminster, Dorset",Beaminster,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.807833,-2.799555,,+441297489481,5289,,Lewesdon Hill,,https://www.nationaltrust.org.uk/visit/dorset/lewesdon-hill
"Cerne Abbas, Dorset, DT2 7AL",Dorset,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.812979,-2.475441,,+441297489481,5072,DT2 7AL,Cerne Giant,,https://www.nationaltrust.org.uk/visit/dorset/cerne-giant
"South of Cherhill village, Near Calne, Wiltshire",Near Calne,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.42359,-1.935232,FULLY_OPEN,+441672539920,6103,,Calstone and Cherhill Downs,,https://www.nationaltrust.org.uk/visit/wiltshire/calstone-and-cherhill-downs
"Bristol Channel, Devon, EX39 2LY (Bookings office)",Devon,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.1735,-4.67047,,+441271863636,214,EX39 2LY,Lundy,,https://www.nationaltrust.org.uk/visit/devon/lundy
"Nr Askerwell, Bridport, Dorset",Bridport,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.748316,-2.644877,,+441297489481,5015,,Eggardon Hill,,https://www.nationaltrust.org.uk/visit/dorset/eggardon-hill
"Cley Hill, Corsley, Warminster, Wiltshire, BA12 7QU",Wiltshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.20299,-2.232584,FULLY_OPEN,+441672539920,6109,BA12 7QU,Cley Hill,,https://www.nationaltrust.org.uk/visit/wiltshire/cley-hill
"Teign Gorge, near Drewsteignton, Exeter, Devon",Exeter,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.695276,-3.780949,FULLY_OPEN,+441647433306,6219,,Fingle Bridge,,https://www.nationaltrust.org.uk/visit/devon/fingle-bridge
"Plymbridge Road, Plympton, Devon, PL7 4SR",Devon,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.4089,-4.0786,,+441752341377,5423,PL7 4SR,Plymbridge Woods,,https://www.nationaltrust.org.uk/visit/devon/plymbridge-woods
"Rayleigh, Essex",Rayleigh,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.587898,0.60605,FULLY_OPEN,+447824891420,276,,Rayleigh Mount,,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/rayleigh-mount
"St Agnes Head, Off Beacon Drive, St Agnes, Cornwall, TR5 0NU",Cornwall,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.31736,-5.2322227,FULLY_OPEN,+441872552412,6137,TR5 0NU,St Agnes Head,,https://www.nationaltrust.org.uk/visit/cornwall/st-agnes-head
"119a Whitepark Road, Ballintoy, County Antrim, BT54 6LS",County Antrim,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",55.236698,-6.3328,FULLY_OPEN,+442820731855,407,BT54 6LS,Carrick-a-Rede,,https://www.nationaltrust.org.uk/visit/northern-ireland/carrick-a-rede
"Kestle Mill, near Newquay, Cornwall, TR8 4PG",Cornwall,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.38661,-5.03809,FULLY_OPEN,+441637875404,338,TR8 4PG,Trerice,,https://www.nationaltrust.org.uk/visit/cornwall/trerice
"Ilam, Ashbourne, Staffordshire, DE6 2AZ",Staffordshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",53.052624,-1.805627,FULLY_OPEN,+441335350503,4510,DE6 2AZ,"Ilam Park, Dovedale and the White Peak",,https://www.nationaltrust.org.uk/visit/peak-district-derbyshire/ilam-park-dovedale-and-the-white-peak
Mid Somerset,,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.296276,-2.721176,FULLY_OPEN,+441934844518,5177,,Mendip Hills,,https://www.nationaltrust.org.uk/visit/somerset/mendip-hills
"North Cornwall coast, near Polzeath, Cornwall",near Polzeath,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.588931,-4.866948,FULLY_OPEN,+441208863046,5425,,Port Quin,,https://www.nationaltrust.org.uk/visit/cornwall/port-quin
"near Kewstoke, Weston-super-Mare, Somerset, BS22 9UD",Somerset,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.388837,-2.963809,FULLY_OPEN,+441934844518,6238,BS22 9UD,Sand Point,,https://www.nationaltrust.org.uk/visit/somerset/sand-point
"Cambo, near Morpeth, Northumberland, NE61 4AR",Northumberland,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",55.1507,-1.95144,FULLY_OPEN,+441670773606,352,NE61 4AR,Wallington,,https://www.nationaltrust.org.uk/visit/north-east/wallington
"near Banbury, Warwickshire, OX15 6HT",Warwickshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",52.1109,-1.46744,FULLY_OPEN,+441295670266,346,OX15 6HT,Upton House and Gardens,,https://www.nationaltrust.org.uk/visit/warwickshire/upton-house-and-gardens
"Marldon, Paignton, Devon, TQ3 1TA",Devon,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.472198,-3.59649,FULLY_OPEN,+441803843235,93,TQ3 1TA,Compton Castle,,https://www.nationaltrust.org.uk/visit/devon/compton-castle
"Roman Bank, Sandilands nr Sutton-on-Sea, Mablethorpe, Lincolnshire, LN12 2RJ",Lincolnshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",53.298127,0.294369,FULLY_OPEN,+441754890102,900011,LN12 2RJ,Sandilands,,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/sandilands
"Brean, Somerset, TA8 2RS",Somerset,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.324402,-3.01443,FULLY_OPEN,+441934844518,2365,TA8 2RS,Brean Down,,https://www.nationaltrust.org.uk/visit/somerset/brean-down
"The Avenue, Washington Village, Washington, Tyne & Wear, NE38 7LE",Tyne & Wear,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",54.9028,-1.5165,CLOSED,+441914166879,354,NE38 7LE,Washington Old Hall,,https://www.nationaltrust.org.uk/visit/north-east/washington-old-hall
"Coast Road, Whitburn, Tyne & Wear, SR6 7NH",Tyne & Wear,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",54.967999,-1.36124,FULLY_OPEN,+441915293161,304,SR6 7NH,Souter Lighthouse and The Leas,,https://www.nationaltrust.org.uk/visit/north-east/souter-lighthouse-and-the-leas
"Summer Lane, Exmouth, Devon, EX8 5BD",Devon,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.641718,-3.408798,FULLY_OPEN,+441395265514,1,EX8 5BD,A la Ronde,,https://www.nationaltrust.org.uk/visit/devon/a-la-ronde
"Doncaster Road, Nostell, near Wakefield, West Yorkshire, WF4 1QE",West Yorkshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",53.652599,-1.38881,FULLY_OPEN,+441924863892,241,WF4 1QE,Nostell,,https://www.nationaltrust.org.uk/visit/yorkshire/nostell
"Nose's Point Car Park, East Cliff Road, Seaham, County Durham, SR7 7PS",County Durham,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",54.823619,-1.322313,FULLY_OPEN,+441915293161,6171,SR7 7PS,Durham Coast,,https://www.nationaltrust.org.uk/visit/north-east/durham-coast
"near Rowlands Gill, Gateshead, Tyne & Wear, NE16 6BG",Tyne & Wear,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",54.920502,-1.73174,FULLY_OPEN,+441207541820,142,NE16 6BG,Gibside,,https://www.nationaltrust.org.uk/visit/north-east/gibside
"The Avenue, Seaton Sluice, Northumberland, NE26 4QR",Northumberland,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",55.082846,-1.496508,CLOSED,+441912379100,4032,NE26 4QR,Seaton Delaval Hall,,https://www.nationaltrust.org.uk/visit/north-east/seaton-delaval-hall
"Hascombe Road, Godalming, Surrey, GU8 4AD",Surrey,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.1614,-0.58113,FULLY_OPEN,+441483208477,378,GU8 4AD,Winkworth Arboretum,,https://www.nationaltrust.org.uk/visit/surrey/winkworth-arboretum
"Colby Woodland Garden, near Amroth, Pembrokeshire, SA67 8PP",Pembrokeshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.742001,-4.67168,FULLY_OPEN,+441646623110,87,SA67 8PP,Colby Woodland Garden,,https://www.nationaltrust.org.uk/visit/wales/colby-woodland-garden
"Morden Hall Road, Morden, London, SM4 5JD",London,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.400611,-0.188722,FULLY_OPEN,+442085456850,229,SM4 5JD,Morden Hall Park,,https://www.nationaltrust.org.uk/visit/london/morden-hall-park
"Disley, Stockport, Cheshire, SK12 2NR",Cheshire,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",53.337002,-2.05322,FULLY_OPEN,+441663762023,215,SK12 2NR,Lyme,,https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/lyme
"Llanbedrog, Gwynedd, LL53 7TT",Gwynedd,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",52.857872,-4.484416,FULLY_OPEN,+441758703810,6148,LL53 7TT,Llanbedrog beach,,https://www.nationaltrust.org.uk/visit/wales/llanbedrog-beach
"Newby Bridge, Windermere, Cumbria, LA12 8NN",Cumbria,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",54.27402,-2.952607,FULLY_OPEN,+441539531273,128,LA12 8NN,Fell Foot,,https://www.nationaltrust.org.uk/visit/lake-district/fell-foot
"Brownstone Road, Kingswear, Devon, TQ6 0EQ",Devon,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",50.345299,-3.53439,FULLY_OPEN,+441803843235,92,TQ6 0EQ,Coleton Fishacre,,https://www.nationaltrust.org.uk/visit/devon/coleton-fishacre
"Great Bookham, near Dorking, Surrey, RH5 6BD",Surrey,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.261002,-0.36886,FULLY_OPEN,+441372452048,265,RH5 6BD,Polesden Lacey,,https://www.nationaltrust.org.uk/visit/surrey/polesden-lacey
"Pont ar Daf car park (access to Pen y Fan), Near Storey Arms, Libanus, Powys, LD3 8NL",Powys,United Kingdom,Nationaltrust,"{'brand': 'Nationaltrust', 'fascia': 'Nationaltrust', 'category': 'National sites', 'edit_date': '20250408', 'lat_lon_source': 'Third-party'}",51.869149,-3.473123,FULLY_OPEN,+441874625515,5067,LD3 8NL,Bannau Brycheiniog (Brecon Beacons),,https://www.nationaltrust.org.uk/visit/wales/bannau-brycheiniog-brecon-beacons
