addr_full,city,country,brand,extra,lat,lon,name,opening_hours,Phone,postcode,ref,state,website
"25, BASILEOS ALEXANDROU st.",PERISTERI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.008038,23.696789,Masouti PERISTERI,{'opening_hours': {}},2105743452,,668,ATTICA,https://www.masoutis.gr/stores
"146, G.PAPANDREOU st.",METAMORFOSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.067776,23.769821,Masouti METAMORFOSI,{'opening_hours': {}},2102822955,,618,ATTICA,https://www.masoutis.gr/stores
"158, G.PAPANDREOU st.",ST.ANARGIROI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.039417,23.731099,Masouti ST.ANARGIROI,{'opening_hours': {}},2102693361,,613,ATTICA,https://www.masoutis.gr/stores
"8, DESTOUNI st.",ST.ELEFTHERIOS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.019880,23.728214,Masouti ST.ELEFTHERIOS,{'opening_hours': {}},2102111569,,604,ATTICA,https://www.masoutis.gr/stores
"202, DIMOSTHENOUS st.",KALLITHEA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.948990,23.699807,Masouti KALLITHEA,{'opening_hours': {}},2109511763,,620,ATTICA,https://www.masoutis.gr/stores
ETHNARXOU MAKARIOU 54,ARGIROUPOLI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.909907,23.748397,Masouti ARGIROUPOLI,{'opening_hours': {}},2160702767,,675,ATTICA,https://www.masoutis.gr/stores
"22, ZOODOCHOUS PIGIS st.",CHALANDRI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.010316,23.800753,Masouti CHALANDRI,{'opening_hours': {}},2106777417,,642,ATTICA,https://www.masoutis.gr/stores
"2, IVIS st.",METAMORFOSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.060757,23.758607,Masouti METAMORFOSI,{'opening_hours': {}},2102828242,,639,ATTICA,https://www.masoutis.gr/stores
"35, THEOTOKOPOULOU st.",PATISIA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.017091,23.733552,Masouti PATISIA,{'opening_hours': {}},2102230131,,619,ATTICA,https://www.masoutis.gr/stores
THESI ALONIA MAGKOULIZA,KALIVIA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.838056,23.922361,Masouti KALIVIA,{'opening_hours': {}},2299046224,,670,ATTICA,https://www.masoutis.gr/stores
"52, K.VARNALI st.",METAMORFOSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.061994,23.765413,Masouti METAMORFOSI,{'opening_hours': {}},2102836680,,614,ATTICA,https://www.masoutis.gr/stores
"116-118, KARPATHOU & SKLAVOUNOU st.",PEIRAIAS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.927714,23.633759,Masouti PEIRAIAS,{'opening_hours': {}},2104523700,,632,ATTICA,https://www.masoutis.gr/stores
"3, KORAI st.",ATHENS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.980022,23.732279,Masouti ATHENS,{'opening_hours': {}},2114117065,,651,ATTICA,https://www.masoutis.gr/stores
79 VOULIAGMENIS & VENEZOUELAS st.,ATHENS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'GRAND', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.873585,23.757942,Masouti ATHENS,{'opening_hours': {}},2109649789,,679,ATTICA,https://www.masoutis.gr/stores
"7, LAMIAS & 18, POULIOU st.",ABELOKIPOI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.988872,23.760378,Masouti ABELOKIPOI,{'opening_hours': {}},2106470492,,641,ATTICA,https://www.masoutis.gr/stores
LEOF. ATHINON SOUNIOU 5,KERATEA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.811148,23.971982,Masouti KERATEA,{'opening_hours': {}},2299309728,,676,ATTICA,https://www.masoutis.gr/stores
VEIKOY 35 & IPSILANTOU 1,GALATSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.015979,23.754607,Masouti GALATSI,{'opening_hours': {}},2102134970,,665,ATTICA,https://www.masoutis.gr/stores
"139 - 141, THRAKOMAKEDONES av.",ACHARNES,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.119810,23.749910,Masouti ACHARNES,{'opening_hours': {}},2102435600,,671,ATTICA,https://www.masoutis.gr/stores
"28, MARKORA st.",PATISIA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.017713,23.741379,Masouti PATISIA,{'opening_hours': {}},2102026291,,615,ATTICA,https://www.masoutis.gr/stores
"1, BOCHALI st.",N.FILOTHEI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.997509,23.757387,Masouti N.FILOTHEI,{'opening_hours': {}},2106470430,,612,ATTICA,https://www.masoutis.gr/stores
"23, OLIMPIAS & SIROU st.",GALATSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.0115634,23.7578857,Masouti GALATSI,{'opening_hours': {}},2102136818,,627,ATTICA,https://www.masoutis.gr/stores
"22, PAPADIAMANTI st.",KIPRIADOU,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.021123,23.743283,Masouti KIPRIADOU,{'opening_hours': {}},2102132666,,605,ATTICA,https://www.masoutis.gr/stores
"158, PATISION st.",SQ.AMERIKIS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.001244,23.733655,Masouti SQ.AMERIKIS,{'opening_hours': {}},2108623688,,631,ATTICA,https://www.masoutis.gr/stores
"268, PATISION st.",SQ.KOLATSIOU,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.011299,23.735196,Masouti SQ.KOLATSIOU,{'opening_hours': {}},2102015241,,638,ATTICA,https://www.masoutis.gr/stores
"384, PATISION st.",A.PATISIA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.023036,23.736014,Masouti A.PATISIA,{'opening_hours': {}},2114113239,,645,ATTICA,https://www.masoutis.gr/stores
PETROUPOLEOS 28 SOFOULI,ILION,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.030460,23.697861,Masouti ILION,{'opening_hours': {}},2102619026,,669,ATTICA,https://www.masoutis.gr/stores
"124, PEFKON & V.IPEIROU st.",N.IRAKLIO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.058076,23.774711,Masouti N.IRAKLIO,{'opening_hours': {}},2102840460,,644,ATTICA,https://www.masoutis.gr/stores
"6, PL. KIPROU & 9 FEIDIOU st.",GALATSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.015683,23.758422,Masouti GALATSI,{'opening_hours': {}},2102223013,,636,ATTICA,https://www.masoutis.gr/stores
"22, PLATONOS st.",GALATSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.016232,23.756642,Masouti GALATSI,{'opening_hours': {}},2102922775,,606,ATTICA,https://www.masoutis.gr/stores
"36, PLOUTONOS st.",DAFNI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.944629,23.743461,Masouti DAFNI,{'opening_hours': {}},2109755027,,637,ATTICA,https://www.masoutis.gr/stores
"4, PROUSSIS st.",N.FILADELFIA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.033748,23.738730,Masouti N.FILADELFIA,{'opening_hours': {}},2111823719,,650,ATTICA,https://www.masoutis.gr/stores
"75, S.VENIZELOU st.",CHALANDRI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.013777,23.797670,Masouti CHALANDRI,{'opening_hours': {}},2106838734,,608,ATTICA,https://www.masoutis.gr/stores
SPARTIS 32 & PARODOS ATTIKIS ODOU,ATHENS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'DARK STORE', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.063827,23.751381,Masouti ATHENS,{'opening_hours': {}},2102888200,,690,ATTICA,https://www.masoutis.gr/stores
"37, SPIRIDOGIANNI st.",POLIGONO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.995596,23.756346,Masouti POLIGONO,{'opening_hours': {}},2106440113,,611,ATTICA,https://www.masoutis.gr/stores
"18, ST. KARAGIORGI st.",N.IRAKLIO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.044760,23.765687,Masouti N.IRAKLIO,{'opening_hours': {}},2102717010,,634,ATTICA,https://www.masoutis.gr/stores
"25, TILEMACHOU & 12 TIRINTHOS st. ",P.FALIRO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",37.937808,23.706273,Masouti P.FALIRO,{'opening_hours': {}},2109483472,,623,ATTICA,https://www.masoutis.gr/stores
"97, TRALLEON st.",GALATSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.02132,23.7505,Masouti GALATSI,{'opening_hours': {}},2114119752,,652,ATTICA,https://www.masoutis.gr/stores
"2, TSOUNTA & 8 ANAVRISIS st.",ST.ELEFTHERIOS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.020478,23.730902,Masouti ST.ELEFTHERIOS,{'opening_hours': {}},2102012010,,640,ATTICA,https://www.masoutis.gr/stores
"34, FEDRIANON st.",KIPSELI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.005931,23.744885,Masouti KIPSELI,{'opening_hours': {}},2108663232,,607,ATTICA,https://www.masoutis.gr/stores
"1,CHLOIS & PENTELIS st.",MAROUSI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.052421,23.818565,Masouti MAROUSI,{'opening_hours': {}},2108026546,,658,ATTICA,https://www.masoutis.gr/stores
"9, CHR. SMIRNIS st.",ST.PARASKEVI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.020125,23.833078,Masouti ST.PARASKEVI,{'opening_hours': {}},2106080016,,609,ATTICA,https://www.masoutis.gr/stores
AGIOU ANDREA & ASKLIPIOU,PATRA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.247396,21.732930,Masouti PATRA,{'opening_hours': {}},2610226680,,560,AXAIAS,https://www.masoutis.gr/stores
PANAHAIKOU 2 & YPSILA ALONIA SQUARE 22,PATRA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.240845,21.734216,Masouti PATRA,{'opening_hours': {}},2610317762,,563,AXAIAS,https://www.masoutis.gr/stores
46TH PL.AGIOU GEORGIOU A,PATRA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.245270,21.735668,Masouti PATRA,{'opening_hours': {}},2610223605,,562,AXAIAS,https://www.masoutis.gr/stores
SOFOKLEOUS & VIKELA 1,PATRA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.265641,21.739942,Masouti PATRA,{'opening_hours': {}},2610438442,,561,AXAIAS,https://www.masoutis.gr/stores
"45, K. TALIADOURI & IPPOKRATOUS str.",GREVENA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",40.084727,21.432295,Masouti GREVENA,{'opening_hours': {}},2462028703 ,,352,GREBENA,https://www.masoutis.gr/stores
3rd km of DRAMA - KAVALA rd,DRAMA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'CASH & CARRY', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",41.168164,24.186215,Masouti DRAMA,{'opening_hours': {}},2521021102,,417,DRAMA,https://www.masoutis.gr/stores
"13, DIRFYOS str",DRAMA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'GRAND', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",41.151936,24.145711,Masouti DRAMA,{'opening_hours': {}},2521027250,,415,DRAMA,https://www.masoutis.gr/stores
ENORIA XRISTOU POTHIA,KALIMNOS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",36.950277,26.985011,Masouti KALIMNOS,{'opening_hours': {}},2243059230,,569,DODEKANISA,https://www.masoutis.gr/stores
POTAMI KALIMNOS,KALIMNOS,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",36.957726,26.964365,Masouti KALIMNOS,{'opening_hours': {}},2243059100,,570,DODEKANISA,https://www.masoutis.gr/stores
3rd km of ALEXANDROUPOLIS-SYNORON (MAISTROS),ALEKSANDROUPOLI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'CASH & CARRY', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",40.854347,25.913865,Masouti ALEKSANDROUPOLI,{'opening_hours': {}},2551088618,,599,EVROS,https://www.masoutis.gr/stores
"2, BASILEOS KONSTANTINOU st.",ORESTIADA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",41.502810,26.535318,Masouti ORESTIADA,{'opening_hours': {}},2552024774,,592,EVROS,https://www.masoutis.gr/stores
"113, ETHNIKIS ANTISTASEOS st.",ALEKSANDROUPOLI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",40.84501,25.87031,Masouti ALEKSANDROUPOLI,{'opening_hours': {}},2551080186,,593,EVROS,https://www.masoutis.gr/stores
1 KOLOKOTRONI st.,ALEKSANDROUPOLI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",40.851147,25.831177,Masouti ALEKSANDROUPOLI,{'opening_hours': {}},2551040050 ,,597,EVROS,https://www.masoutis.gr/stores
"35, KONSTANTINOUPOLEOS st. (WHOLESALE)",ORESTIADA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'CASH & CARRY', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",41.487221,26.534491,Masouti ORESTIADA,{'opening_hours': {}},2552081786,,596,EVROS,https://www.masoutis.gr/stores
"146, DIMOKRATIAS AVENUE ",ALEKSANDROUPOLI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",40.847032,25.880285,Masouti ALEKSANDROUPOLI,{'opening_hours': {}},2551033831,,590,EVROS,https://www.masoutis.gr/stores
10 BEGETI & GERMANOU st.,DIDIMOTIXO,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",41.34971,26.49567,Masouti DIDIMOTIXO,{'opening_hours': {}},2553026718,,594,EVROS,https://www.masoutis.gr/stores
OMIROU 2 & PLATIA ELEFTHERIAS,FERES,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",40.894259,26.174245,Masouti FERES,{'opening_hours': {}},2555088090,,598,EVROS,https://www.masoutis.gr/stores
"13, FYLIS st.",ALEKSANDROUPOLI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",40.850094,25.876922,Masouti ALEKSANDROUPOLI,{'opening_hours': {}},2551024022,,595,EVROS,https://www.masoutis.gr/stores
25is MARTIOY& BELISARIOY XALKIDA EYBOIAS,ALIVERI,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.408772,24.036037,Masouti ALIVERI,{'opening_hours': {}},2223022342,,333,EVOIA,https://www.masoutis.gr/stores
28is OKTOBRIOY & SKYROY XALKIDA EYBOIAS,XALKIDA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.460744,23.603518,Masouti XALKIDA,{'opening_hours': {}},2221088851,,331,EVOIA,https://www.masoutis.gr/stores
L.ATHINON XALKIDA EYBOIAS,XALKIDA,Greece,Masouti,"{'brand': 'Masouti', 'fascia': 'SUPER MARKET', 'category': 'Retail', 'edit_date': '20250526', 'lat_lon_source': 'Third Party'}",38.465726,23.573181,Masouti XALKIDA,{'opening_hours': {}},2221094881,,332,EVOIA,https://www.masoutis.gr/stores
