city,address_en,country,shop_id,shop_name_en,extras,tel,link_url,hours,latitude,longitude
Rest of Asia,"No.340, Fujin Street, Taipei City, Taiwan",Japan,152,BEAMS TAIPEI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': ""BEAMS TAIPEI is a concept shop that embodies the BEAMS aesthetic through a selection of mostly original men's and women's casual wear, children's apparel, accessories, art and other merchandise."", 'lat_lon_source': 'thirdparty'}",+886 2 2767 2716,https://www.beams.co.jp/global/shop/taipei/,"12:00 - 20:30 (Mon–Fri), 11:30 - 20:30 (Sat, Sun, Public Holidays)",25.060390,121.557106
Rest of Asia,"Shop 626-627 , 6F , Hysan Place , Causeway Bay , Hong Kong, China",Japan,182,BEAMS HONG KONG HYSAN PLACE,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': ""On the sixth-floor of Hysan Place shopping centre in Causeway Bay, Hong Kong.You can feel 'Tokyo casual style' through original and selected items from men's casual, women's casual and accessories."", 'lat_lon_source': 'thirdparty'}",+852-2759-3282,https://www.beams.co.jp/global/shop/hongkong_hysan_place/,"Sunday - Thursday, 10:00 - 22:30 / Friday, Saturday & The day before Holidays, 10:00 - 23:00",22.2797977,114.183731
Rest of Asia,"Shop UG207, The ONE, Tsim Sha Tsui, Kowloon, Hong Kong, China",Japan,146,BEAMS HONG KONG THE ONE,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'BEAMS HONG KONG THE ONE is located within a mall ""THE ONE"" in Kowloon that has a direct access to Tsim Sha Tsui train station.', 'lat_lon_source': 'thirdparty'}",+852 2677 0230,https://www.beams.co.jp/global/shop/hongkong_theone/,11:00 - 22:30,22.299558,114.172126
Rest of Asia,"LG1-31, Festival Walk, Kowloon Tong, Kowloon, Hong Kong, China",Japan,143,BEAMS HONG KONG FESTIVAL WALK,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': ""B1 floor of the 'Festival Walk' shopping mall in the Kowloon Tong area. Offering women's Tokyo casual style where you can freely enjoy fashion based around Ray Beams original products. "", 'lat_lon_source': 'thirdparty'}",＋852 2265 7050,https://www.beams.co.jp/global/shop/hongkong_festivalwalk/,11:00 - 22:00,22.337233,114.174423
Rest of Asia,"1881 Baoan South Road, Luohu District, Shenzhen, Guangdong, China",Japan,250,BEAMS SHENZHEN The MIX C,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': '\u3000\u3000', 'lat_lon_source': 'thirdparty'}",+86 10 6416 2087,https://www.beams.co.jp/global/shop/shenzhen/,10:00 - 22:00,22.53982,114.11132
Rest of Asia,"No.628 Jiefang Avenue, Qiaokou District, Wuhan City, China",Japan,253,BEAMS WUHAN K11,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': '\u3000\u3000', 'lat_lon_source': 'thirdparty'}",+86 571 8656 0160,https://www.beams.co.jp/global/shop/wuhan/,10:00 - 22:00,30.578757,114.264398
Rest of Asia,"No. 98, Shuangcheng 2nd Road, Chenghua District, Chengdu (Block 3, 4), Chengdu City D131",Japan,252,BEAMS CHENGDU THE MIX C,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': ' \u3000\u3000   ', 'lat_lon_source': 'thirdparty'}",+86 28 8413 1989,https://www.beams.co.jp/global/shop/chengdu/,10:00 - 22:00（Mon〜Thu・Sun）／10:00 - 22:30（Fri・Sat）,30.65017,104.11503
Rest of Asia,"353 Yan'an Rd, Xiacheng District, Hangzhou, Zhejiang, China",Japan,254,BEAMS HANGZHOU KERRY CENTRE,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': '\u3000\u3000  ', 'lat_lon_source': 'thirdparty'}",+86 571 8656 0160,https://www.beams.co.jp/global/shop/hangzhou/,10:00 - 22:00,30.260451,120.163116
Rest of Asia,"1-01&1-02, Level1, Xintiandi Plaza 333 Huaihai Middle Road, Huangpu, Shanghai , China",Japan,251,BEAMS SHANGHAI XINTIANDI PLAZA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': '\u3000\u3000', 'lat_lon_source': 'thirdparty'}",+86 21 6373 0035,https://www.beams.co.jp/global/shop/shanghai/,10:00 - 22:00,31.21899,121.474850
Rest of Asia,"Taikoo Li Sanlitun South S1-15&23 No.19 Sanlitun Road Chaoyang District Beijing, China",Japan,249,BEAMS BEIJING TAIKOO LI SANLITUN ,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': '\u3000\u3000', 'lat_lon_source': 'thirdparty'}",+86 10 6416 2087,https://www.beams.co.jp/global/shop/beijing/,10:00 - 22:00,39.935363,116.455499
Chugoku / Shikoku / Kyushu / Okinawa,"OKINAWA OUTLET MALL ASHIBINAA , 1-188 Toyosaki, Tomigusuku-shi, Okinawa",Japan,25,BEAMS OUTLET OKINAWA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",098 891 7733,https://www.beams.co.jp/global/shop/oko/,10:00 - 20:00,26.15939592,127.6567769
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA Kagoshima 1F, 1-1 Cyuo-cho, Kagoshima-shi, Kagoshima",Japan,118,BEAMS KAGOSHIMA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",099 812 6266 （Men's）/ 099 812 6267 （Women's）,https://www.beams.co.jp/global/shop/kgb/,10:00 - 20:00,31.584602,130.542606
Chugoku / Shikoku / Kyushu / Okinawa,"Amyupurazamiyazaki 1F 2-2-22 Oimatsu, Miyazaki-shi Miyazaki",Japan,214,BEAMS MIYAZAKI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",0985-41-6761,https://www.beams.co.jp/global/shop/myz/,10:00 - 20:00,31.914888,131.431258
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA Oita 1F, 1-14 Kanamemachi, Oita-shi, Oita",Japan,116,BEAMS OITA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",097 513 2296,https://www.beams.co.jp/global/shop/oia/,"11:00 - 20:00(Mon-Fri) / 10:00 - 20:00(Sat, Sun, Holiday)",33.233253,131.606100
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA KUMAMOTO 1F, 3-15-26 Kasuga, Nishi-ku, Kumamoto-shi Kumamoto",Japan,115,BEAMS KUMAMOTO,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",096 359 7771 （Women's）／ 096 359 1280 （Men's）,https://www.beams.co.jp/global/shop/km/,10:00 - 20:00,32.7890230,130.68875
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA NAGASAKI 2F, 1-1 Onoemachi, Nagasaki-shi, Nagasaki",Japan,128,B:MING LIFE STORE by BEAMS AMU PLAZA NAGASAKI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'The main product line includes men’s and women’s original casual wear and business formal; additionally, kid’s and baby wear, miscellanea, cosmetics, and beauty supplies form a diverse lineup of goods offering the pleasures of contemporary lifestyles.', 'lat_lon_source': 'thirdparty'}",095 833 2311,https://www.beams.co.jp/global/shop/nsa/,10:00 - 20:00,32.751674,129.87089
Chugoku / Shikoku / Kyushu / Okinawa,"1F AMU PLAZA Nagasaki New Building, 1-1  Onoue-machi, Nagasaki-shi Nagasaki",Japan,113,BEAMS NAGASAKI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",095-822-6006,https://www.beams.co.jp/global/shop/ns/,10:00 - 20:00,32.75147,129.87035
Chugoku / Shikoku / Kyushu / Okinawa,"TOSU PREMIUM OUTLETS, 8-1 Yayoigaoka, Tosu-shi, Saga",Japan,23,BEAMS OUTLET TOSU,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",0942 87 7327,https://www.beams.co.jp/global/shop/bto/,10:00 - 20:00,33.406078,130.512475
Chugoku / Shikoku / Kyushu / Okinawa,"THE OUTLETS KITAKYUSHU, 4-1-1 Higashida, Kitakyushu Yahatahigashi-ku, Fukuoka-shi Fukuoka",Japan,225,BEAMS OUTLET KITAKYUSHU,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'description_en': 'Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.', 'lat_lon_source': 'thirdparty'}",093 616 7275,https://www.beams.co.jp/global/shop/kko/,10:00 - 20:00,33.873961,130.810891
city,address_en,country,ref,name,extras,phone,website,hours,latitude,longitude
Tokyo,"B1F Jingumae Terrace, 3-25-15 Jingumae, Shibuya-ku Tokyo",Japan,2,BEAMS WOMEN HARAJUKU,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",03 5413 6415 / 03-5771-5745(Vermeerist BEAMS),https://www.beams.co.jp/global/shop/hw/,"12:00 - 20:00 (Mon〜Fri) / 11:00 - 20:00(Sat, Sun, Holiday)",35.671576,139.708141
Rest of Asia,"2F Paragon Department Store, 991/1 Rama I Rd., Pathumwan, Pathumwan Bangkok 10330, Thailand",Japan,159,BEAMS BANGKOK PARAGON,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+662 610 7752,https://www.beams.co.jp/global/shop/bangkok_paragon/,10:00 - 22:00,13.747908,100.534962
Rest of Asia,"MA-01 MF EM Galleria Floor, The Emsphere Shopping Complex, Bangkok, Thailand",Japan,157,BEAMS BANGKOK,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+662 129 6053,https://www.beams.co.jp/global/shop/bangkok/,10:00 - 22:00,13.73234,100.56680
Rest of Asia,"3F, No. 268, Sec. 3, Zhongxiao E. Rd., Da’an Dist., Taipei City",Japan,241,BEAMS SHIN KONG MITSUKOSHI DIAMOND TOWERS,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",02 2778 2232,https://www.beams.co.jp/global/shop/diamond_towers/,11:00 - 21:30（⽇ - 木）／ 11:00 - 22:00（金 - ⼟・祝祭⽇前⽇）,25.04148853041179,121.54212837089123
Rest of Asia,"Taichung City, East District, Jinde Rd, 600號2樓",Japan,237,BEAMS LaLaport Taichung,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+886 4 2215 3029,https://www.beams.co.jp/global/shop/lalaport_taichung/,11:00 - 22:00,24.135713,120.692561
Rest of Asia,"Taipei City, Zhongshan District, Nanjing W Rd, 14號, Eslite Spectrum Nanxi, 1樓",Japan,236,BEAMS Eslite Spectrum Nanxi,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+886 2 2723 2818,https://www.beams.co.jp/global/shop/eslite_spectrum_nanxi/,11:00 - 22:00,25.052137,121.520671
Rest of Asia,"No. 168, Section 10, Taiwan Blvd, Wuqi District, Taichung City",Japan,221,BEAMS OUTLET TAICHUNG,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+886 4 2656 4138,https://www.beams.co.jp/global/shop/outlet_taichung/,"11:00 - 21:30（Sun - Fri）／10:30 - 21:30（Sat, Sun, Public Holidays）",24.2593129,120.51867559
Rest of Asia,"No. 301, Section 3, Taiwan Blvd, Xitun District, Taichung City",Japan,220,BEAMS TAICHUNG MITSUKOSHI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+886 4 2251 6010,https://www.beams.co.jp/global/shop/taichung/,"11:00 - 22:00（Sun - Fri）／ 10:30 - 22:00（Sat, Sun, Public Holidays）",24.16526,120.64371
Rest of Asia,"3F, No. 17, Songzhi Rd., Xinyi Dist., Taipei City 110, Taiwan",Japan,187,BEAMS Breeze NAN SHAN,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+886 2 2723 6584,https://www.beams.co.jp/global/shop/breeze_man_shan_atre/,"11:00 - 22:00 (Thu - Sat,Before holidays), 11:00 - 21:30（Sun - Wed）",25.034484,121.566862
Rest of Asia,"No. 356, Section 1, Wenhua 3rd Rd, Linkou District, New Taipei City, Taiwan",Japan,155,BEAMS OUTLET LINKOU,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+886 2 2600 3783,https://www.beams.co.jp/global/shop/outlet_linkou/,11:00 - 21:30（Sunday-Thursday）／11:00 - 22:00（Friday～Saturday）,25.070083,121.365562
Rest of Asia,"No.340, Fujin Street, Taipei City, Taiwan",Japan,152,BEAMS TAIPEI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+886 2 2767 2716,https://www.beams.co.jp/global/shop/taipei/,"12:00 - 20:30 (Mon–Fri), 11:30 - 20:30 (Sat, Sun, Public Holidays)",25.060390,121.557106
Rest of Asia,"Shop 626-627 , 6F , Hysan Place , Causeway Bay , Hong Kong, China",Japan,182,BEAMS HONG KONG HYSAN PLACE,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+852-2759-3282,https://www.beams.co.jp/global/shop/hongkong_hysan_place/,"Sunday - Thursday, 10:00 - 22:30 / Friday, Saturday & The day before Holidays, 10:00 - 23:00",22.2797977,114.183731
Rest of Asia,"Shop UG207, The ONE, Tsim Sha Tsui, Kowloon, Hong Kong, China",Japan,146,BEAMS HONG KONG THE ONE,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+852 2677 0230,https://www.beams.co.jp/global/shop/hongkong_theone/,11:00 - 22:30,22.299558,114.172126
Rest of Asia,"LG1-31, Festival Walk, Kowloon Tong, Kowloon, Hong Kong, China",Japan,143,BEAMS HONG KONG FESTIVAL WALK,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",＋852 2265 7050,https://www.beams.co.jp/global/shop/hongkong_festivalwalk/,11:00 - 22:00,22.337233,114.174423
Rest of Asia,"1881 Baoan South Road, Luohu District, Shenzhen, Guangdong, China",Japan,250,BEAMS SHENZHEN The MIX C,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+86 10 6416 2087,https://www.beams.co.jp/global/shop/shenzhen/,10:00 - 22:00,22.53982,114.11132
Rest of Asia,"No.628 Jiefang Avenue, Qiaokou District, Wuhan City, China",Japan,253,BEAMS WUHAN K11,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+86 571 8656 0160,https://www.beams.co.jp/global/shop/wuhan/,10:00 - 22:00,30.578757,114.264398
Rest of Asia,"No. 98, Shuangcheng 2nd Road, Chenghua District, Chengdu (Block 3, 4), Chengdu City D131",Japan,252,BEAMS CHENGDU THE MIX C,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+86 28 8413 1989,https://www.beams.co.jp/global/shop/chengdu/,10:00 - 22:00（Mon〜Thu・Sun）／10:00 - 22:30（Fri・Sat）,30.65017,104.11503
Rest of Asia,"353 Yan'an Rd, Xiacheng District, Hangzhou, Zhejiang, China",Japan,254,BEAMS HANGZHOU KERRY CENTRE,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+86 571 8656 0160,https://www.beams.co.jp/global/shop/hangzhou/,10:00 - 22:00,30.260451,120.163116
Rest of Asia,"1-01&1-02, Level1, Xintiandi Plaza 333 Huaihai Middle Road, Huangpu, Shanghai , China",Japan,251,BEAMS SHANGHAI XINTIANDI PLAZA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+86 21 6373 0035,https://www.beams.co.jp/global/shop/shanghai/,10:00 - 22:00,31.21899,121.474850
Rest of Asia,"Taikoo Li Sanlitun South S1-15&23 No.19 Sanlitun Road Chaoyang District Beijing, China",Japan,249,BEAMS BEIJING TAIKOO LI SANLITUN ,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",+86 10 6416 2087,https://www.beams.co.jp/global/shop/beijing/,10:00 - 22:00,39.935363,116.455499
Chugoku / Shikoku / Kyushu / Okinawa,"OKINAWA OUTLET MALL ASHIBINAA , 1-188 Toyosaki, Tomigusuku-shi, Okinawa",Japan,25,BEAMS OUTLET OKINAWA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",098 891 7733,https://www.beams.co.jp/global/shop/oko/,10:00 - 20:00,26.15939592,127.6567769
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA Kagoshima 1F, 1-1 Cyuo-cho, Kagoshima-shi, Kagoshima",Japan,118,BEAMS KAGOSHIMA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",099 812 6266 （Men's）/ 099 812 6267 （Women's）,https://www.beams.co.jp/global/shop/kgb/,10:00 - 20:00,31.584602,130.542606
Chugoku / Shikoku / Kyushu / Okinawa,"Amyupurazamiyazaki 1F 2-2-22 Oimatsu, Miyazaki-shi Miyazaki",Japan,214,BEAMS MIYAZAKI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",0985-41-6761,https://www.beams.co.jp/global/shop/myz/,10:00 - 20:00,31.914888,131.431258
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA Oita 1F, 1-14 Kanamemachi, Oita-shi, Oita",Japan,116,BEAMS OITA,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",097 513 2296,https://www.beams.co.jp/global/shop/oia/,"11:00 - 20:00(Mon-Fri) / 10:00 - 20:00(Sat, Sun, Holiday)",33.233253,131.606100
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA KUMAMOTO 1F, 3-15-26 Kasuga, Nishi-ku, Kumamoto-shi Kumamoto",Japan,115,BEAMS KUMAMOTO,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",096 359 7771 （Women's）／ 096 359 1280 （Men's）,https://www.beams.co.jp/global/shop/km/,10:00 - 20:00,32.7890230,130.68875
Chugoku / Shikoku / Kyushu / Okinawa,"AMU PLAZA NAGASAKI 2F, 1-1 Onoemachi, Nagasaki-shi, Nagasaki",Japan,128,B:MING LIFE STORE by BEAMS AMU PLAZA NAGASAKI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",095 833 2311,https://www.beams.co.jp/global/shop/nsa/,10:00 - 20:00,32.751674,129.87089
Chugoku / Shikoku / Kyushu / Okinawa,"1F AMU PLAZA Nagasaki New Building, 1-1  Onoue-machi, Nagasaki-shi Nagasaki",Japan,113,BEAMS NAGASAKI,"{'brand': 'Beams', 'fascia': 'Beams', 'category': 'Retail', 'edit_date': '20250308', 'lat_lon_source': 'thirdparty'}",095-822-6006,https://www.beams.co.jp/global/shop/ns/,10:00 - 20:00,32.75147,129.87035
