addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
"62 ΜΑΡΤΥΡΩΝ 154, ΗΡΑΚΛΕΙΟ",Plaisio,ΗΡΑΚΛΕΙΟ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",35.33266,25.11364,Plasio ΚΑΤΑΣΤΗΜΑ ΗΡΑΚΛΕΙΟΥ Λ.62 ΜΑΡΤΥΡΩΝ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",281 0264100,,1054,Κρήτη,https://www.plaisio.gr/stores/katastima-irakleiou-l-62-martiron-1054
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 121, ΘΕΣ/ΝΙΚΗ ΚΑΛΑΜΑΡΙΑ",Plaisio,ΘΕΣ/ΝΙΚΗ ΚΑΛΑΜΑΡΙΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",40.580665,22.967501,Plasio ΚΑΤΑΣΤΗΜΑ ΚΑΛΑΜΑΡΙΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",231 049 4000,,1033,Θεσσαλονίκη,https://www.plaisio.gr/stores/katastima-kalamarias-1033
"ΚΤΙΡΙΟ 501 ΕΜΠΟΡΙΚΟ ΠΑΡΚΟ ΔΙΕΘΝΟΥΣ ΑΕΡΟΛΙΜΕΝΑ ΑΘΗΝΩΝ, ΣΠΑΤΑ",Plaisio,ΣΠΑΤΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.924899,23.930653,Plasio ΚΑΤΑΣΤΗΜΑ ΑΕΡΟΔΡΟΜΙΟΥ,"{'opening_hours': {'Mon': '10:00;21:00', 'Tue': '10:00;21:00', 'Wed': '10:00;21:00', 'Thu': '10:00;21:00', 'Fri': '10:00;21:00', 'Sat': '10:00;20:00', 'Sun': '-'}}",21 0289 5000,,1057,Αττική,https://www.plaisio.gr/stores/katastima-aerodromiou-1057
"ΒΑΣΙΛΕΩΣ ΟΘΩΝΟΣ 88, ΑΤΤΙΚΗ",Plaisio,ΑΤΤΙΚΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.075178,23.812083,Plasio ΚΑΤΑΣΤΗΜΑ ΚΗΦΙΣΙΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0623 4660,,1038,Αθήνα,https://www.plaisio.gr/stores/katastima-kifisias-1038
"Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ 595 ΚΑΙ Μ.ΓΕΡΟΥΛΑΝΟΥ 3, ΑΤΤΙΚΗ",Plaisio,ΑΤΤΙΚΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.911881,23.745619,Plasio ΚΑΤΑΣΤΗΜΑ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0994 8660,,1037,Αθήνα,https://www.plaisio.gr/stores/katastima-l-vouliagmenis-1037
"ΓΕΩΡΓΙΑΔΟΥ 26, ΛΑΡΙΣΑ",Plaisio,ΛΑΡΙΣΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",39.642786,22.419456,Plasio ΚΑΤΑΣΤΗΜΑ ΛΑΡΙΣΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",241 053 9700,,1040,Λάρισα,https://www.plaisio.gr/stores/katastima-larisas-1040
"ΘΕΣΗ ΣΚΛΗΡΗ, ΜΑΓΟΥΛΑ",Plaisio,ΜΑΓΟΥΛΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.083991,23.526615,Plasio ΚΑΤΑΣΤΗΜΑ ΜΑΓΟΥΛΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0558 7700,,1044,Αθήνα,https://www.plaisio.gr/stores/katastima-magoulas-1044
"ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 35, ΑΤΤΙΚΗ",Plaisio,ΑΤΤΙΚΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.045632,23.790147,Plasio ΚΑΤΑΣΤΗΜΑ ΑΜΑΡΟΥΣΙΟΥ,"{'opening_hours': {'Mon': '10:00;21:00', 'Tue': '10:00;21:00', 'Wed': '10:00;21:00', 'Thu': '10:00;21:00', 'Fri': '10:00;21:00', 'Sat': '10:00;20:00', 'Sun': '-'}}",21 0610 4000,,1039,Αθήνα,https://www.plaisio.gr/stores/katastima-amarousiou-1039
"ΦΑΒΙΕΡΟΥ 5, ΜΕΤΑΜΟΡΦΩΣΗ",Plaisio,ΜΕΤΑΜΟΡΦΩΣΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.06908,23.765734,Plasio ΚΑΤΑΣΤΗΜΑ ΜΕΤΑΜΟΡΦΩΣΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0289 2000,,1020,Αθήνα,https://www.plaisio.gr/stores/katastima-metamorfosis-1020
"ΑΓ. ΑΝΔΡΕΟΥ 120, ΠΑΤΡΑ",Plaisio,ΠΑΤΡΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.246407,21.731487,Plasio ΚΑΤΑΣΤΗΜΑ ΠΑΤΡΑΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",261 024 0700,,1028,Πάτρα,https://www.plaisio.gr/stores/katastima-patras-1028
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 42, ΑΘΗΝΑ",Plaisio,ΑΘΗΝΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.013725,23.690937,Plasio ΚΑΤΑΣΤΗΜΑ ΠΕΡΙΣΤΕΡΙΟΥ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0574 2222,,1027,Αθήνα,https://www.plaisio.gr/stores/katastima-peristeriou-1027
"ΠΕΤΡΟΥ ΡΑΛΛΗ 99 &amp; ΗΛΙΑ ΒΕΝΕΖΗ, ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ",Plaisio,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.975628,23.671839,Plasio ΚΑΤΑΣΤΗΜΑ ΠΕΤΡΟΥ ΡΑΛΛΗ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0425 0110,,1051,Αθήνα,https://www.plaisio.gr/stores/katastima-petrou-ralli-1051
"ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ 21, ΑΤΤΙΚΗ",Plaisio,ΑΤΤΙΚΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.946484,23.646066,Plasio ΚΑΤΑΣΤΗΜΑ ΠΕΙΡΑΙΑ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}", 21 0413 8700,,1036,Αθήνα,https://www.plaisio.gr/stores/katastima-peiraia-1036
"ΟΜΗΡΟΥ 5, ΑΘΗΝΑ",Plaisio,ΑΘΗΝΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.00587,23.776936,Plasio ΚΑΤΑΣΤΗΜΑ ΨΥΧΙΚΟΥ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0677 2300,,1024,Αθήνα,https://www.plaisio.gr/stores/katastima-psixikou-1024
"Π.Π. ΓΕΡΜΑΝΟΥ 11, ΘΕΣ/ΝΙΚΗ",Plaisio,ΘΕΣ/ΝΙΚΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",40.630322,22.946049,Plasio ΚΑΤΑΣΤΗΜΑ Π.Π. ΓΕΡΜΑΝΟΥ ΘΕΣ/ΝΙΚΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",231 025 2400,,1026,Θεσσαλονίκη,https://www.plaisio.gr/stores/katastima-p-p-germanou-thes-nikis-1026
"ΜΕΣΟΓΕΙΩΝ 512, 514, ΑΘΗΝΑ",Plaisio,ΑΘΗΝΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.011936227918,23.836872680232,Plasio ΚΑΤΑΣΤΗΜΑ STOCKHOUSE ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0608 4200,,1031,Αθήνα,https://www.plaisio.gr/stores/katastima-stockhouse-agias-paraskeuis-1031
"ΦΑΒΙΕΡΟΥ 4, ΜΕΤΑΜΟΡΦΩΣΗ",Plaisio,ΜΕΤΑΜΟΡΦΩΣΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",38.06841,23.7652727,Plasio ΚΑΤΑΣΤΗΜΑ STOCKHOUSE ΜΕΤΑΜΟΡΦΩΣΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0289 2326,,1035,Αθήνα,https://www.plaisio.gr/stores/katastima-stockhouse-metamorfosis-1035
"ΣΤΟΥΡΝΑΡΗ 24, ΑΘΗΝΑ",Plaisio,ΑΘΗΝΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.987525,23.733021,Plasio ΚΑΤΑΣΤΗΜΑ ΣΤΟΥΡΝΑΡΗ 24,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0330 7200,,1021,Αθήνα,https://www.plaisio.gr/stores/katastima-stournari-24-1021
"ΒΟΥΛΗΣ 3, ΑΘΗΝΑ",Plaisio,ΑΘΗΝΑ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",37.977505,23.732902,Plasio ΚΑΤΑΣΤΗΜΑ ΣΥΝΤΑΓΜΑΤΟΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",21 0330 7300,,1030,Αθήνα,https://www.plaisio.gr/stores/katastima-sintagmatos-1030
"ΒΕΝΙΖΕΛΟΥ 9, ΘΕΣ/ΝΙΚΗ",Plaisio,ΘΕΣ/ΝΙΚΗ,Greece,"{'brand': 'Plaisio', 'fascia': 'Plaisio', 'category': 'Retail', 'edit_date': '2025-05-27', 'lat_lon_source': 'Third Party'}",40.635154,22.939736,Plasio ΚΑΤΑΣΤΗΜΑ ΒΕΝΙΖΕΛΟΥ ΘΕΣ/ΝΙΚΗΣ,"{'opening_hours': {'Mon': '09:00;21:00', 'Tue': '09:00;21:00', 'Wed': '09:00;21:00', 'Thu': '09:00;21:00', 'Fri': '09:00;21:00', 'Sat': '09:00;20:00', 'Sun': '-'}}",231 025 3500,,1047,Θεσσαλονίκη,https://www.plaisio.gr/stores/katastima-venizelou-thes-nikis-1047
