addr_full,brand,country,extras,lat,lon,name,opening_hours,phone,ref,website
"서울특별시송파구가락로116,1층",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5014186,127.1089581,Shinesegaefood 송파사거리점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",02-423-4355,626,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시 강동구 양재대로 1488(길동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5385811,127.1405938,Shinesegaefood 길동역점,"{'opening_hours': {'Mon': '10:30-22:00', 'Tue': '10:30-22:00', 'Wed': '10:30-22:00', 'Thu': '10:30-22:00', 'Fri': '10:30-22:00', 'Sat': '10:30-22:00', 'Sun': '10:30-22:00'}}",02-489-6540,627,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기도 성남시 수정구 제일로 165(태평동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4410362,127.1314847,Shinesegaefood 성남태평점,"{'opening_hours': {'Mon': None, 'Tue': None, 'Wed': None, 'Thu': None, 'Fri': None, 'Sat': None, 'Sun': None}}",,628,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"경기도용인시처인구명지로21,1층(역북동)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.2340576,127.1889953,Shinesegaefood 용인역북점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-333-6472,629,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"인천광역시남동구서창남로45,로데오프라자1층노브랜드버거",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4235762,126.7500987,Shinesegaefood 인천서창점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",032-469-0779,632,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울마포구월드컵로240상암메가박스1층,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5682553,126.8972733,Shinesegaefood 메가박스상암점,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-21:00', 'Sun': '10:00-21:00'}}",070-4102-0070,633,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시양천구중앙로2911층(신월동),Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5221488,126.8516520,Shinesegaefood 신정네거리점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",02-2065-8742,634,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"인천광역시부평구경원대로1402,프라자빌딩1층",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4910728,126.7247511,Shinesegaefood 부평역점,"{'opening_hours': {'Mon': '10:00-24:00', 'Tue': '10:00-24:00', 'Wed': '10:00-24:00', 'Thu': '10:00-24:00', 'Fri': '10:00-24:00', 'Sat': '10:00-24:00', 'Sun': '10:00-24:00'}}",032-502-4365,636,https://www.shinsegaefood.com/nobrandburger/store/store.sf
부산광역시중구광복로88,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",35.0984002,129.0345420,Shinesegaefood 부산광복점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",051-254-2005,637,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기도 파주시 후곡로 2 1층,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.7574032,126.7731773,Shinesegaefood 금촌로터리점,"{'opening_hours': {'Mon': '09:30-23:00', 'Tue': '09:30-23:00', 'Wed': '09:30-23:00', 'Thu': '09:30-23:00', 'Fri': '09:30-23:00', 'Sat': '09:30-23:00', 'Sun': '09:30-23:00'}}",031-947-1050,638,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"대구광역시달서구월배로51,1층110호,111호(유천동,진천역AK그랑폴리스)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",35.8139027,128.5199767,Shinesegaefood 대구진천점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",053-637-7485,639,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기 성남시 수정구 복정로 69,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4592421,127.1264601,Shinesegaefood 성남복정점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-759-0352,641,https://www.shinsegaefood.com/nobrandburger/store/store.sf
서울특별시강서구공항대로543,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5507388,126.8664122,Shinesegaefood 등촌역점,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00', 'Sun': '08:00-21:00'}}",02-3664-5333,643,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"서울특별시동대문구장한로137,1층(장안동)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5727566,127.0712122,Shinesegaefood 장안사거리점,"{'opening_hours': {'Mon': '10:00-23:00', 'Tue': '10:00-23:00', 'Wed': '10:00-23:00', 'Thu': '10:00-23:00', 'Fri': '10:00-23:00', 'Sat': '10:00-23:00', 'Sun': '10:00-23:00'}}",02-2215-1555,644,https://www.shinsegaefood.com/nobrandburger/store/store.sf
인천 미추홀구 인하로 81-1,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4511942,126.6574884,Shinesegaefood 인천용현점,"{'opening_hours': {'Mon': None, 'Tue': None, 'Wed': None, 'Thu': None, 'Fri': None, 'Sat': None, 'Sun': None}}",032-873-0508,645,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"경기도화성시수노을중앙로150,더드림프라자1층",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.2837435,126.8189680,Shinesegaefood 화성새솔점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-357-1044,646,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"서울강남구사평대로3711층(반포동,현철빌딩)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5045761,127.0236069,Shinesegaefood 신논현역점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",02-3448-0301,647,https://www.shinsegaefood.com/nobrandburger/store/store.sf
대구광역시달성군유가읍테크노상업로112,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",35.6932691,128.4618973,Shinesegaefood 대구현풍점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",053-614-1300,649,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"서울시금천구시흥대로 224리메인시티1층105,106호",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.4539296,126.9013002,Shinesegaefood 시흥사거리점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",02-808-6427,650,https://www.shinsegaefood.com/nobrandburger/store/store.sf
부산광역시부산진구동평로106엘리움메디컬센터104호,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",35.1655911,129.0411348,Shinesegaefood 부산당감,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",051-891-7333,651,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"경기도이천시중리천로53-5,1층(창전동)",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.2805415,127.4438259,Shinesegaefood 이천중앙점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-635-0001,655,https://www.shinsegaefood.com/nobrandburger/store/store.sf
대구광역시동구율하동1435,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",35.8631481,128.6972255,Shinesegaefood 대구율하점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",053-964-1609,658,https://www.shinsegaefood.com/nobrandburger/store/store.sf
"경기도안양시동안구엘에스로122,125~127호",Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.3728650,126.9488677,Shinesegaefood 안양호계점,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00', 'Sun': '08:00-21:00'}}",031-8033-0103,660,https://www.shinsegaefood.com/nobrandburger/store/store.sf
인천시부평구마장로320한화프라자103호,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",37.5066003,126.7037115,Shinesegaefood 인천산곡점,"{'opening_hours': {'Mon': '10:00-23:00', 'Tue': '10:00-23:00', 'Wed': '10:00-23:00', 'Thu': '10:00-23:00', 'Fri': '10:00-23:00', 'Sat': '10:00-23:00', 'Sun': '10:00-23:00'}}",032-512-7776,661,https://www.shinsegaefood.com/nobrandburger/store/store.sf
경기도 안성시 공도읍 진시리 5-6 스타필드 안성 1층 1336호,Shinesegaefood,Korea,"{'brand': 'Shinesegaefood', 'fascia': 'Shinesegaefood', 'category': 'Rstaurant', 'edit_date': '20250609', 'lat_lon_source': 'imgUrl'}",36.9946334,127.1472496,Shinesegaefood 스타필드안성점,"{'opening_hours': {'Mon': '10:00-22:00', 'Tue': '10:00-22:00', 'Wed': '10:00-22:00', 'Thu': '10:00-22:00', 'Fri': '10:00-22:00', 'Sat': '10:00-22:00', 'Sun': '10:00-22:00'}}",031-8092-1506,663,https://www.shinsegaefood.com/nobrandburger/store/store.sf
