addr_full,brand,city,country,extras,lat,long,name,opening_hours,phone,postcode,ref,state,website
"2F, 79, Tachiuri-Nishimachi, Takaura Nishiru, Shijo-dori 2F, Shimogyo-ku, Kyoto, 26 600-8511",Miu Miu,600-8511,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Kyoto Daimaru,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81752555171,600-8511,S616,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"8-7, Kakuda-cho, Kita-ku 5F, , Osaka, 27 530-8350",Miu Miu,530-8350,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Osaka Umeda Hankyu 5F,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81663137362,530-8350,S448,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"4F, 8-7, Kakuda-cho 4F, Kita-ku, Osaka, 27 530-8350",Miu Miu,530-8350,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Osaka Umeda Hankyu 4F,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81663139814,530-8350,SD20,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"2F, 8-7, Kakuda-cho 2F, Kita-ku, Osaka, 27 530-8350",Miu Miu,530-8350,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Osaka Umeda Hankyu Bags & Acc.,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81663130378,530-8350,S642,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"2F, 3-14-1, Shinjuku 2F, Shinjuku-ku, Tokyo, 13 160-0022",Miu Miu,160-0022,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Tokyo Shinjuku Isetan Shoes,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81353792750,160-0022,S645,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"Kakuda-cho , Kita-Ku 8-7, , Osaka, 530 530-8350",Miu Miu,530-8350,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Osaka Umeda Hankyu 8F,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81663132050,530-8350,SH44,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"3F, 3-1-1, Umeda 3F, Kita-ku, Osaka, 27 530-8202",Miu Miu,530-8202,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Osaka Umeda Daimaru,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81663421146,530-8202,S628,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"大阪市中央区心斎橋筋1-7-1 大丸心斎橋店本館2F , , Osaka, 27 542-8501",Miu Miu,542-8501,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu ミュウミュウ 大丸心斎橋店,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81662412961,542-8501,S622,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"18-1, Akashimachi , Chuo-ku, Kobe, 28 650-0037",Miu Miu,650-0037,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Kobe,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81783347601,650-0037,SB94,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"福岡市中央区天神2-5-35 岩田屋本店本館1F , , Fukuoka, 40 810-8680",Miu Miu,810-8680,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu ミュウミュウ 福岡岩田屋店,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81927338262,810-8680,S427,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
"4-1, Omoromachi , , Naha, 47 900-0006",Miu Miu,900-0006,JP,"{'brand': 'Miu Miu', 'fascia': 'Miu Miu', 'category': 'Fashion ', 'edit_date': '20250305', 'lat_lon_source': 'thirdparty'}",,,Miu Miu Okinawa,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+81988621405,900-0006,SG40,,"https://cdn.yextapis.com/v2/accounts/me/search/vertical/query?api_key=61119b3d853ae12bf41e7bd9501a718b&locale=en&v=20220511&limit=50&experienceKey=miumiu-experience&verticalKey=miumiu-locations&retrieveFacets=true&input=&offset=0&location=36.204824,138.252924&locationRadius=5000000"
